,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23000,23000,23000,23000,100,23000
1,22/11/2022,23100,23000,23100,23000,3700,23000
2,23/11/2022,22900,21200,21200,22900,12700,22900
3,24/11/2022,22900,22900,22900,22900,1000,22900
4,25/11/2022,22900,22000,22900,22000,800,22000
5,28/11/2022,22900,22900,22900,22900,5100,22900
6,29/11/2022,22900,22900,22900,22900,100,22900
7,30/11/2022,22900,22900,22900,22900,100,22900
8,01/12/2022,22900,22100,22100,22900,1718,22900
9,02/12/2022,22900,22900,22900,22900,100,22900
10,05/12/2022,22900,22900,22900,22900,22,22900
11,06/12/2022,22900,21500,21500,22900,300,22900
12,07/12/2022,22800,22000,22800,22800,970600,22800
13,08/12/2022,24500,22200,22800,24300,13781,24300
14,09/12/2022,23800,23800,23800,23800,970000,23800
15,12/12/2022,23800,22000,22000,23800,2600,23800
16,13/12/2022,23700,22000,22700,22000,6300,22000
17,14/12/2022,23300,22000,22000,23300,7084,23300
18,15/12/2022,23200,23200,23200,23200,100,23200
19,16/12/2022,23200,23200,23200,23200,-,23200
20,19/12/2022,23000,22000,22000,23000,400,23000
21,20/12/2022,22700,21600,21600,22700,3800800,22700
22,21/12/2022,23000,22000,22000,22900,12000,22900
23,22/12/2022,22000,22000,22000,22000,3800102,22000
24,23/12/2022,22900,22700,22900,22700,201,22700
25,26/12/2022,22700,21500,22000,21500,3617500,21500
26,27/12/2022,22800,22600,22600,22800,8000,22800
27,28/12/2022,22600,22600,22600,22600,3603300,22600
28,29/12/2022,22800,22500,22500,22600,11300,22600
29,30/12/2022,22700,22700,22700,22700,2000200,22700
30,03/01/2023,23000,22700,22700,22700,800,22700
31,04/01/2023,22700,22700,22700,22700,200,22700
32,05/01/2023,22500,22500,22500,22500,1424,22500
33,06/01/2023,23000,22500,23000,22500,3900,22500
34,09/01/2023,22800,22800,22800,22800,2000000,22800
35,10/01/2023,22800,22800,22800,22800,10700,22800
36,11/01/2023,22800,22800,22800,22800,84,22800
37,12/01/2023,23000,23000,23000,23000,300,23000
38,13/01/2023,22800,22800,22800,22800,600,22800
39,16/01/2023,22600,22600,22600,22600,800,22600
40,17/01/2023,22800,22800,22800,22800,100,22800
41,18/01/2023,22800,22800,22800,22800,4501,22800
42,19/01/2023,22800,22800,22800,22800,-,22800
43,27/01/2023,22800,22800,22800,22800,-,22800
44,30/01/2023,23900,22000,22800,23000,3200,23000
45,31/01/2023,24000,23800,23800,24000,1500,24000
46,01/02/2023,25000,23900,25000,23900,2000,23900
47,02/02/2023,24000,24000,24000,24000,350902,24000
48,03/02/2023,24200,24000,24000,24200,2436,24200
49,06/02/2023,25500,24500,25500,25000,354802,25000
50,07/02/2023,24400,24400,24400,24400,100,24400
51,08/02/2023,24500,24500,24500,24500,2000,24500
52,09/02/2023,25500,24600,24600,25500,5800,25500
53,10/02/2023,25500,25500,25500,25500,4400,25500
54,13/02/2023,25500,25500,25500,25500,-,25500
55,14/02/2023,25400,23200,23200,25400,1145,25400
56,15/02/2023,24100,24100,24100,24100,100,24100
57,16/02/2023,25300,25300,25300,25300,100,25300
58,17/02/2023,25300,25300,25300,25300,-,25300
59,20/02/2023,25500,23400,23400,25500,1600,25500
60,21/02/2023,25000,25000,25000,25000,500,25000
61,22/02/2023,24100,24100,24100,24100,100,24100
62,23/02/2023,24100,24100,24100,24100,-,24100
63,24/02/2023,25400,25400,25400,25400,500,25400
64,27/02/2023,25500,25500,25500,25500,500,25500
65,28/02/2023,23300,23300,23300,23300,270100,23300
66,01/03/2023,25600,25400,25400,25600,2900,25600
67,02/03/2023,25500,25500,25500,25500,270000,25500
68,03/03/2023,25500,25500,25500,25500,8700,25500
69,06/03/2023,25800,24300,24300,25500,3900,25500
70,07/03/2023,25500,23600,23600,25500,6700,25500
71,08/03/2023,25500,24100,24100,25500,3364,25500
72,09/03/2023,24800,24800,24800,24800,-,24800
73,10/03/2023,25000,24200,24200,25000,1400,25000
74,13/03/2023,24600,24600,24600,24600,-,24600
75,14/03/2023,24200,24200,24200,24200,100,24200
76,15/03/2023,24200,24200,24200,24200,-,24200
77,16/03/2023,25500,25500,25500,25500,866064,25500
78,17/03/2023,24300,24300,24300,24300,101,24300
79,20/03/2023,25000,24500,24500,25000,865800,25000
80,21/03/2023,24800,24800,24800,24800,100,24800
81,22/03/2023,25500,24800,24800,25500,300,25500
82,23/03/2023,25500,25000,25000,25500,400,25500
83,24/03/2023,25500,25500,25500,25500,100,25500
84,27/03/2023,25500,24300,24300,25500,10800,25500
85,28/03/2023,24300,24300,24300,24300,-,24300
86,29/03/2023,24300,24300,24300,24300,-,24300
87,30/03/2023,24300,24300,24300,24300,-,24300
88,31/03/2023,24300,24300,24300,24300,-,24300
89,03/04/2023,25500,25000,25000,25500,900,25500
90,04/04/2023,25400,25400,25400,25500,10,25400
91,05/04/2023,25900,25500,25500,25900,1100,25900
92,06/04/2023,25800,25800,25800,25800,200,25800
93,07/04/2023,25900,25800,25800,25900,1700,25900
94,10/04/2023,26500,26400,26400,26500,5900,26500
95,11/04/2023,26500,26500,26500,26500,11,26500
96,12/04/2023,26500,26500,26500,26500,-,26500
97,13/04/2023,26600,25500,25500,26600,5100,26600
98,14/04/2023,26500,26500,26500,26500,200,26500
99,17/04/2023,26500,26500,26500,26500,-,26500
100,18/04/2023,27000,26500,26500,27000,528205,27000
101,19/04/2023,25500,25500,25500,25500,210,25500
102,20/04/2023,27500,26000,26500,27000,17100,27000
103,21/04/2023,26900,26900,26900,27000,4,26900
104,24/04/2023,26900,26900,26900,26900,4855,26900
105,25/04/2023,27000,26100,27000,26100,2121,26100
106,26/04/2023,26800,26800,26800,26100,6,26800
107,27/04/2023,27500,27000,27000,27500,14800,27500
108,28/04/2023,27200,27200,27200,27200,-,27200
109,04/05/2023,26600,26600,26600,26600,700,26600
110,05/05/2023,26600,26600,26600,26600,86,26600
111,08/05/2023,27900,27900,27900,27900,202,27900
112,09/05/2023,27800,26500,26500,26700,1000,26700
113,10/05/2023,26900,26900,26900,26900,-,26900
114,11/05/2023,26900,26900,26900,26900,-,26900
115,12/05/2023,27800,27800,27800,27800,100,27800
116,15/05/2023,27800,27800,27800,27800,300,27800
117,16/05/2023,27000,27000,27000,27000,300,27000
118,17/05/2023,27500,27000,27000,27000,8415,27000
119,18/05/2023,27000,26500,27000,26500,800,26500
120,19/05/2023,27800,27000,27000,27400,4001,27400
121,22/05/2023,30000,27500,27500,30000,3600,30000
122,23/05/2023,29000,29000,29000,29000,100,29000
123,24/05/2023,29000,29000,29000,29000,26,29000
124,25/05/2023,29000,29000,29000,29000,-,29000
125,26/05/2023,27000,26500,27000,26500,700,26500
126,29/05/2023,27000,27000,27000,27000,934,27000
127,30/05/2023,27000,27000,27000,27000,-,27000
128,31/05/2023,27000,27000,27000,27000,600,27000
129,01/06/2023,26500,26100,26500,26100,1300,26100
130,02/06/2023,27000,26800,26800,27000,1000,27000
131,05/06/2023,26900,26900,26900,26900,-,26900
132,06/06/2023,27500,27500,27500,27500,500,27500
133,07/06/2023,27500,26200,26200,27500,5270,27500
134,08/06/2023,27400,27400,27400,27400,-,27400
135,09/06/2023,27000,26900,26900,27000,502,27000
136,12/06/2023,27000,27000,27000,27000,-,27000
137,13/06/2023,27000,27000,27000,27000,-,27000
138,14/06/2023,27000,27000,27000,27000,-,27000
139,15/06/2023,27200,27100,27200,27200,830528,27200
140,16/06/2023,27200,27200,27200,27200,1250000,27200
141,19/06/2023,27200,26100,26100,27100,1587600,27100
142,20/06/2023,27200,26800,27000,27200,1269603,27200
143,21/06/2023,26100,24000,26100,24000,782243,24000
144,22/06/2023,24100,23000,24100,23000,1209500,23000
145,23/06/2023,24000,22500,24000,22500,1102903,22500
146,26/06/2023,24400,24000,24400,24000,1200900,24000
147,27/06/2023,23500,22700,23000,23500,1119122,23500
148,28/06/2023,23000,23000,23000,23000,1403901,23000
149,29/06/2023,22500,22100,22500,22100,3120,22100
150,30/06/2023,22500,22000,22000,22000,1406300,22000
151,03/07/2023,22500,22000,22100,22300,3400,22300
152,04/07/2023,23800,22500,23800,22500,689100,22500
153,05/07/2023,22600,22300,22300,22500,60600,22500
154,06/07/2023,22500,22000,22000,22500,640800,22500
155,07/07/2023,23000,22000,22600,23000,37300,23000
156,10/07/2023,23400,22600,22800,22900,6200,22900
157,11/07/2023,22800,22800,22800,22800,-,22800
158,12/07/2023,22800,22500,22800,22500,10100,22500
159,13/07/2023,23000,22600,23000,22600,21553,22600
160,14/07/2023,23000,22600,22600,23000,1706400,23000
161,17/07/2023,22800,22600,22600,22800,400,22800
162,18/07/2023,23000,22800,22800,23000,900,23000
163,19/07/2023,23000,22800,23000,22800,3900,22800
164,20/07/2023,23000,22900,23000,23000,10427,23000
165,21/07/2023,23200,23000,23000,23000,12957,23000
166,24/07/2023,23000,22500,23000,22500,4517,22500
167,25/07/2023,22900,22500,22600,22900,7008,22900
168,26/07/2023,23100,23100,23100,23100,2000,23100
169,27/07/2023,23000,23000,23000,23000,268,23000
170,28/07/2023,22600,22500,22600,22500,3420,22500
171,31/07/2023,22500,22500,22500,22500,1275,22500
172,01/08/2023,22900,22900,22900,22900,300,22900
173,02/08/2023,22900,22900,22900,22900,300,22900
174,03/08/2023,22800,22800,22800,22800,300,22800
175,04/08/2023,22600,22500,22500,22600,2110,22600
176,07/08/2023,22500,22200,22500,22500,3000,22500
177,08/08/2023,22600,22300,22300,22600,1800,22600
178,09/08/2023,22500,22300,22400,22500,1528300,22500
179,10/08/2023,22400,22300,22400,22400,2400,22400
180,11/08/2023,22400,22400,22400,22400,45,22400
181,14/08/2023,22200,22100,22200,22100,1527400,22100
182,15/08/2023,22500,22500,22500,22500,2100,22500
183,16/08/2023,23000,22800,23000,22800,2300,22800
184,17/08/2023,22900,22200,22900,22200,1920,22200
185,18/08/2023,22800,22000,22800,22300,5400,22300
186,21/08/2023,22200,22100,22200,22100,1800,22100
187,22/08/2023,22100,22000,22100,22000,5000,22000
188,23/08/2023,23000,22200,22800,22200,196300,22200
189,24/08/2023,24500,22000,22000,24500,10300,24500
190,25/08/2023,23000,23000,23000,23000,100,23000
191,28/08/2023,22200,22100,22100,22200,4481,22200
192,29/08/2023,22900,22500,22900,22900,800,22900
193,30/08/2023,22900,22300,22800,22800,5400,22800
194,31/08/2023,22900,22700,22900,22700,900,22700
195,05/09/2023,22900,22900,22900,22900,1100,22900
196,06/09/2023,22800,22700,22700,22800,1100,22800
197,07/09/2023,22900,22100,22100,22800,1500,22800
198,08/09/2023,22800,22600,22600,22800,900,22800
199,11/09/2023,22800,22200,22200,22800,6110,22800
200,12/09/2023,22800,22300,22800,22800,1200,22800
201,13/09/2023,23400,22800,22800,23000,5167,23000
202,14/09/2023,22800,22400,22400,22800,768200,22800
203,15/09/2023,22900,22700,22700,22800,7600,22800
204,18/09/2023,23000,22900,22900,22900,769203,22900
205,19/09/2023,22900,22900,22900,22900,64,22900
206,20/09/2023,22800,22500,22500,22800,700,22800
207,21/09/2023,23000,23000,23000,23000,210,23000
208,22/09/2023,23000,23000,23000,23000,-,23000
209,25/09/2023,22800,22200,22300,22800,1500,22800
210,26/09/2023,22800,22800,22800,22800,100,22800
211,27/09/2023,22300,22100,22200,22100,2300,22100
212,28/09/2023,22700,22200,22700,22600,3900,22600
213,29/09/2023,22800,22800,22800,22800,100,22800
214,02/10/2023,22700,22500,22600,22700,516400,22700
215,03/10/2023,22600,22300,22400,22600,600,22600
216,04/10/2023,22500,22300,22500,22300,511155,22300
217,05/10/2023,22900,22300,22900,22300,2300,22300
218,06/10/2023,22800,22300,22500,22800,5100,22800
219,09/10/2023,22700,22100,22200,22700,6800,22700
220,10/10/2023,22700,22700,22700,22700,100,22700
221,11/10/2023,22700,22400,22400,22700,800,22700
222,12/10/2023,22700,22100,22600,22700,8300,22700
223,13/10/2023,22500,22500,22500,22500,100,22500
224,16/10/2023,23000,22500,22500,22700,52300,22700
225,17/10/2023,23000,22900,23000,22900,6344,22900
226,18/10/2023,23000,23000,23000,23000,2100,23000
227,19/10/2023,23000,23000,23000,23000,-,23000
228,20/10/2023,23000,22900,22900,23000,200,23000
229,23/10/2023,22800,22500,22800,22500,6300,22500
230,24/10/2023,22800,22100,22200,22800,3600,22800
231,25/10/2023,22800,22200,22800,22500,2200,22500
232,26/10/2023,22500,22200,22200,22500,2601,22500
233,27/10/2023,22000,22000,22000,22000,709,22000
234,30/10/2023,23000,21500,22500,22700,9736,22700
235,31/10/2023,23000,21700,22000,22700,49200,22700
236,01/11/2023,22400,21700,21800,22400,2000,22400
237,02/11/2023,22800,21400,21500,22800,12000,22800
238,03/11/2023,22900,22800,22900,22900,9104,22900
239,06/11/2023,22900,21700,22900,22800,5600,22800
240,07/11/2023,22800,22200,22200,22800,643604,22800
241,08/11/2023,22800,20300,21500,22800,17944,22800
242,09/11/2023,22700,22700,22700,22700,640100,22700
243,10/11/2023,22600,21700,22200,22600,7200,22600
244,13/11/2023,22500,22000,22000,22500,303,22500
245,14/11/2023,22600,22600,22600,22600,8000200,22600
246,15/11/2023,22500,22500,22500,22500,4200,22500
247,16/11/2023,22500,22500,22500,22500,-,22500
248,17/11/2023,22500,21800,21800,22500,7325,22500
249,20/11/2023,22500,21400,21800,22500,7500,22500
