,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,24300,23500,24300,23500,21100,23500
1,22/11/2022,24500,23400,24200,24000,12400,24000
2,23/11/2022,24200,23300,24200,23300,14505,23300
3,24/11/2022,24100,23000,24100,23000,12400,23000
4,25/11/2022,24000,23400,23400,24000,2700,24000
5,28/11/2022,25000,24000,24300,24200,31300,24200
6,29/11/2022,24600,24100,24100,24600,23140,24600
7,30/11/2022,24500,23100,23100,24000,21810,24000
8,01/12/2022,25000,23900,24500,25000,37000,25000
9,02/12/2022,24800,24100,24800,24200,5300,24200
10,05/12/2022,25000,24100,25000,24500,64002,24500
11,06/12/2022,23800,23500,23600,23600,9400,23600
12,07/12/2022,23700,22800,23100,22900,15700,22900
13,08/12/2022,23900,23100,23100,23900,3200,23900
14,09/12/2022,23900,23100,23500,23200,11700,23200
15,12/12/2022,25000,23300,23900,23700,45000,23700
16,13/12/2022,24700,23200,23300,24700,2100,24700
17,14/12/2022,24900,23500,24900,23900,12500,23900
18,15/12/2022,24800,23900,24600,23900,5318,23900
19,16/12/2022,25400,23800,24400,23900,16900,23900
20,19/12/2022,24500,24100,24500,24100,23600,24100
21,20/12/2022,24000,23000,23500,24000,23600,24000
22,21/12/2022,24000,23100,23100,24000,15300,24000
23,22/12/2022,23500,23100,23500,23200,6402,23200
24,23/12/2022,24000,24000,24000,24000,100,24000
25,26/12/2022,24000,22300,22300,22400,7500,22400
26,27/12/2022,23500,22500,22500,23000,2200,23000
27,28/12/2022,22400,22400,22400,22400,500,22400
28,29/12/2022,22500,22400,22500,22400,2600,22400
29,30/12/2022,23000,21000,21000,22500,34800,22500
30,03/01/2023,22900,22000,22000,22500,14508,22500
31,04/01/2023,22300,22100,22300,22200,8500,22200
32,05/01/2023,24400,23300,23500,24400,57600,24400
33,06/01/2023,23700,23000,23200,23000,9400,23000
34,09/01/2023,23400,23100,23100,23400,3200,23400
35,10/01/2023,23600,23100,23100,23600,2200,23600
36,11/01/2023,24000,23000,24000,23000,16800,23000
37,12/01/2023,22600,22000,22200,22000,41920,22000
38,13/01/2023,22900,22000,22000,22200,35900,22200
39,16/01/2023,22200,22200,22200,22200,2601,22200
40,17/01/2023,23300,22200,22200,23300,3900,23300
41,18/01/2023,23300,22700,23300,22800,5500,22800
42,19/01/2023,23400,22800,22900,23300,10100,23300
43,27/01/2023,24300,23200,24300,23500,4600,23500
44,30/01/2023,23600,23400,23400,23600,17200,23600
45,31/01/2023,23500,23400,23500,23400,17100,23400
46,01/02/2023,23800,23400,23500,23500,34900,23500
47,02/02/2023,23600,23600,23600,23600,42100,23600
48,03/02/2023,23800,23300,23600,23800,7100,23800
49,06/02/2023,23900,23600,23600,23600,11621,23600
50,07/02/2023,23700,23500,23700,23500,33800,23500
51,08/02/2023,23500,23500,23500,23500,18100,23500
52,09/02/2023,23500,23500,23500,23500,21010,23500
53,10/02/2023,23500,23500,23500,23500,14400,23500
54,13/02/2023,23500,23000,23500,23400,36400,23400
55,14/02/2023,23500,23400,23400,23400,7500,23400
56,15/02/2023,24000,23400,23400,23500,10200,23500
57,16/02/2023,23500,23500,23500,23500,12100,23500
58,17/02/2023,23600,23500,23600,23500,14600,23500
59,20/02/2023,23900,23500,23500,23900,31000,23900
60,21/02/2023,23900,23600,23900,23600,6361,23600
61,22/02/2023,23700,23500,23600,23500,26300,23500
62,23/02/2023,23700,23000,23500,23600,12100,23600
63,24/02/2023,23600,23600,23600,23600,23111,23600
64,27/02/2023,23600,23400,23400,23600,34000,23600
65,28/02/2023,23600,23600,23600,23600,3400,23600
66,01/03/2023,23600,23500,23600,23600,26800,23600
67,02/03/2023,23800,23500,23600,23600,30200,23600
68,03/03/2023,23700,22700,22700,23600,16854,23600
69,06/03/2023,23600,23100,23500,23100,11000,23100
70,07/03/2023,23600,22700,22700,23500,5200,23500
71,08/03/2023,23600,21700,22000,23600,22100,23600
72,09/03/2023,23600,23400,23400,23400,11300,23400
73,10/03/2023,23500,23100,23500,23300,11400,23300
74,13/03/2023,23300,23100,23300,23100,2400,23100
75,14/03/2023,23400,23400,23400,23400,100,23400
76,15/03/2023,23400,22500,23000,23000,22700,23000
77,16/03/2023,22800,22700,22700,22800,1010,22800
78,17/03/2023,22700,22700,22700,22700,1000,22700
79,20/03/2023,22500,21400,21700,22500,13200,22500
80,21/03/2023,22700,21400,22000,22500,2200,22500
81,22/03/2023,22500,21500,21700,22000,1300,22000
82,23/03/2023,22000,21700,21800,22000,47300,22000
83,24/03/2023,21900,21700,21900,21700,15900,21700
84,27/03/2023,21900,21500,21900,21700,6700,21700
85,28/03/2023,21700,21600,21700,21700,3900,21700
86,29/03/2023,21700,21600,21700,21700,19900,21700
87,30/03/2023,22800,21600,22800,21700,11000,21700
88,31/03/2023,22200,21600,21600,22200,10900,22200
89,03/04/2023,22000,21500,21600,21900,6618,21900
90,04/04/2023,21800,21600,21800,21600,4200,21600
91,05/04/2023,21800,21700,21800,21800,700,21800
92,06/04/2023,22600,21100,21100,22200,25400,22200
93,07/04/2023,22200,21600,22200,21900,28400,21900
94,10/04/2023,21900,21600,21900,21600,5100,21600
95,11/04/2023,21800,21200,21500,21800,7500,21800
96,12/04/2023,21400,21000,21400,21100,48000,21100
97,13/04/2023,21200,21000,21200,21000,11200,21000
98,14/04/2023,21100,20400,21100,20900,14100,20900
99,17/04/2023,20900,19600,20900,20400,4600,20400
100,18/04/2023,20500,20200,20500,20200,8600,20200
101,19/04/2023,20400,20000,20100,20000,15100,20000
102,20/04/2023,20100,19500,20000,20000,19900,20000
103,21/04/2023,20000,19800,20000,20000,22700,20000
104,24/04/2023,20000,20000,20000,20000,12500,20000
105,25/04/2023,20100,19900,20000,20000,12200,20000
106,26/04/2023,20000,19900,19900,19900,5600,19900
107,27/04/2023,19900,19900,19900,19900,-,19900
108,28/04/2023,20000,19500,19900,20000,11200,20000
109,04/05/2023,20200,19900,19900,19900,15710,19900
110,05/05/2023,19900,19200,19200,19900,20500,19900
111,08/05/2023,20700,19900,19900,20700,23500,20700
112,09/05/2023,20900,20200,20300,20600,19808,20600
113,10/05/2023,20500,20300,20300,20400,9300,20400
114,11/05/2023,20400,20000,20400,20000,15200,20000
115,12/05/2023,20400,20200,20200,20300,21400,20300
116,15/05/2023,20500,20300,20300,20300,10400,20300
117,16/05/2023,20500,20300,20300,20400,14700,20400
118,17/05/2023,20700,20300,20300,20500,26900,20500
119,18/05/2023,20600,20400,20400,20400,14900,20400
120,19/05/2023,20700,20500,20500,20500,29313,20500
121,22/05/2023,21000,20600,20600,20700,30800,20700
122,23/05/2023,20800,20400,20600,20800,13600,20800
123,24/05/2023,20600,20400,20400,20400,12000,20400
124,25/05/2023,20500,20400,20400,20400,11700,20400
125,26/05/2023,22600,20700,22600,20700,3208,20700
126,29/05/2023,21800,21000,21000,21500,10918,21500
