,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1600,1500,1500,1600,31600,1600
1,22/11/2022,1800,1500,1800,1700,69800,1700
2,23/11/2022,1800,1500,1800,1600,41786,1600
3,24/11/2022,1600,1400,1400,1600,6954,1600
4,25/11/2022,1600,1400,1400,1600,26100,1600
5,28/11/2022,1700,1600,1700,1700,59824,1700
6,29/11/2022,1900,1800,1900,1900,82012,1900
7,30/11/2022,2100,2000,2000,2100,72015,2100
8,01/12/2022,2400,2000,2200,2100,106074,2100
9,02/12/2022,2200,2000,2200,2200,56544,2200
10,05/12/2022,2300,2100,2300,2200,26827,2200
11,06/12/2022,2200,2000,2200,2100,51157,2100
12,07/12/2022,2100,1900,2100,2000,17200,2000
13,08/12/2022,2000,1900,1900,1900,16228,1900
14,09/12/2022,2000,1800,2000,1900,20900,1900
15,12/12/2022,2000,1900,2000,1900,13500,1900
16,13/12/2022,1900,1700,1700,1900,28300,1900
17,14/12/2022,1900,1800,1900,1800,11000,1800
18,15/12/2022,1900,1800,1800,1900,2900,1900
19,16/12/2022,1900,1800,1900,1800,18701,1800
20,19/12/2022,1900,1800,1800,1900,800,1900
21,20/12/2022,1800,1700,1800,1800,14113,1800
22,21/12/2022,1800,1700,1800,1700,11600,1700
23,22/12/2022,1800,1700,1700,1800,19000,1800
24,23/12/2022,1800,1800,1800,1800,4300,1800
25,26/12/2022,1700,1600,1700,1600,49000,1600
26,27/12/2022,1800,1700,1700,1800,5100,1800
27,28/12/2022,1700,1700,1700,1700,2700,1700
28,29/12/2022,1800,1600,1800,1700,2900,1700
29,30/12/2022,1800,1600,1700,1700,6909,1700
30,03/01/2023,1800,1700,1800,1700,13500,1700
31,04/01/2023,1800,1700,1700,1800,19100,1800
32,05/01/2023,1900,1800,1800,1900,200,1900
33,06/01/2023,1800,1800,1800,1800,1000,1800
34,09/01/2023,1800,1700,1800,1800,4005,1800
35,10/01/2023,1800,1700,1700,1800,7300,1800
36,11/01/2023,1800,1700,1700,1700,22200,1700
37,12/01/2023,1700,1700,1700,1700,6600,1700
38,13/01/2023,1700,1700,1700,1700,6700,1700
39,16/01/2023,1700,1600,1700,1700,9350,1700
40,17/01/2023,1800,1600,1800,1600,8000,1600
41,18/01/2023,1700,1600,1700,1700,13900,1700
42,19/01/2023,1700,1700,1700,1700,21300,1700
43,27/01/2023,1800,1700,1800,1700,21305,1700
44,30/01/2023,1900,1800,1800,1900,15800,1900
45,31/01/2023,1900,1800,1800,1900,5900,1900
46,01/02/2023,1900,1800,1900,1900,6900,1900
47,02/02/2023,1900,1800,1800,1900,7400,1900
48,03/02/2023,1900,1800,1900,1900,19800,1900
49,06/02/2023,1900,1800,1900,1800,4600,1800
50,07/02/2023,1800,1800,1800,1800,3400,1800
51,08/02/2023,1900,1700,1900,1700,300,1700
52,09/02/2023,1900,1900,1900,1900,10800,1900
53,10/02/2023,1800,1800,1800,1800,4500,1800
54,13/02/2023,1800,1600,1700,1800,10900,1800
55,14/02/2023,1900,1700,1700,1900,7700,1900
56,15/02/2023,1900,1800,1800,1800,5700,1800
57,16/02/2023,1800,1800,1800,1800,500,1800
58,17/02/2023,1800,1800,1800,1800,12800,1800
59,20/02/2023,1800,1700,1800,1800,10700,1800
60,21/02/2023,1900,1800,1900,1900,11600,1900
61,22/02/2023,1800,1700,1700,1800,900,1800
62,23/02/2023,1800,1700,1800,1800,9700,1800
63,24/02/2023,1800,1700,1800,1700,4000,1700
64,27/02/2023,1700,1700,1700,1700,2000,1700
65,28/02/2023,1800,1700,1700,1800,2300,1800
66,01/03/2023,1700,1700,1700,1700,11202,1700
67,02/03/2023,1800,1700,1700,1800,3100,1800
68,03/03/2023,1800,1700,1700,1800,5900,1800
69,06/03/2023,1800,1700,1700,1800,7300,1800
70,07/03/2023,1700,1600,1700,1700,5000,1700
71,08/03/2023,1700,1700,1700,1700,600,1700
72,09/03/2023,1700,1700,1700,1700,1000,1700
73,10/03/2023,1700,1600,1700,1700,14102,1700
74,13/03/2023,1700,1600,1600,1700,2000,1700
