,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,36000,34900,36000,35400,320700,31500
1,22/11/2022,38000,34900,35500,36500,326645,32500
2,23/11/2022,38500,36600,37500,36700,80301,32600
3,24/11/2022,38500,36900,37300,37300,209801,33200
4,25/11/2022,38500,37500,38000,38000,85212,33800
5,28/11/2022,39000,37600,37800,38900,81302,34600
6,29/11/2022,38500,37600,38300,38500,81068,34200
7,30/11/2022,39500,38100,39000,39400,112251,35000
8,01/12/2022,39400,38600,39400,39000,2115544,34700
9,02/12/2022,39100,38500,39000,39000,83020,34700
10,05/12/2022,39200,38600,38600,39200,63483,34900
11,06/12/2022,38900,38000,38900,38600,310868,34300
12,07/12/2022,39000,37600,38500,38800,107105,34500
13,08/12/2022,39000,37700,38400,38400,153000,34200
14,09/12/2022,39100,38100,38400,38900,147642,34600
15,12/12/2022,39000,38400,38900,38500,27775,34200
16,13/12/2022,38900,38800,38800,38800,35355,34500
17,14/12/2022,39900,38900,39000,39900,150392,35500
18,15/12/2022,40500,39600,39600,40500,95548,36000
19,16/12/2022,40400,39600,39800,40400,34043,35900
20,19/12/2022,40500,39800,39800,40000,107065,35600
21,20/12/2022,40300,39500,40300,40300,162902,35800
22,21/12/2022,40000,39700,40000,39800,14183,35400
23,22/12/2022,39700,39100,39700,39700,15210,35300
24,23/12/2022,39300,39300,39300,39300,1071300,35000
25,26/12/2022,39300,38500,39300,38900,19801,34600
26,27/12/2022,39000,38600,38600,38800,14090,34500
27,28/12/2022,38900,38500,38500,38600,10625,34300
28,29/12/2022,39600,38500,38500,39200,78023,34900
29,30/12/2022,40800,38400,39100,40800,51313,36300
30,03/01/2023,40000,39200,39300,40000,25705,35600
31,04/01/2023,40000,39500,39600,39900,146441,35500
32,05/01/2023,40100,39700,39800,39800,15640,35400
33,06/01/2023,39800,39000,39600,39000,75012,34700
34,09/01/2023,39500,39100,39500,39200,10018,34900
35,10/01/2023,39000,38800,39000,38900,16900,34600
36,11/01/2023,39100,38600,39000,39000,32600,34700
37,12/01/2023,39000,38700,38900,38800,9501,34500
38,13/01/2023,38600,38400,38600,38500,224615,34200
39,16/01/2023,38700,36800,38600,37500,278467,33400
40,17/01/2023,38200,37500,37500,38100,73800,33900
