,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,19600,18100,19000,19100,577834,19100
1,22/11/2022,21400,18700,19000,19800,850223,19800
2,23/11/2022,20000,18500,19800,18500,456003,18500
3,24/11/2022,19000,18000,18600,19000,500784,19000
4,25/11/2022,20000,19000,19200,19900,474453,19900
5,28/11/2022,21100,19800,19800,20900,693833,20900
6,29/11/2022,21300,20000,20900,21000,959758,21000
7,30/11/2022,21500,20600,21000,21400,605232,21400
8,01/12/2022,22300,20300,21500,20500,1292042,20500
9,02/12/2022,21800,20100,20500,21600,819354,21600
10,05/12/2022,22200,21300,21900,21700,721532,21700
11,06/12/2022,21900,20100,21600,20300,1013329,20300
12,07/12/2022,20700,19800,20000,20200,476861,20200
13,08/12/2022,21500,20200,20300,20800,601081,20800
14,09/12/2022,20900,20200,20900,20400,421816,20400
15,12/12/2022,21100,19100,19600,20000,611131,20000
16,13/12/2022,20500,19800,20000,20400,507743,20400
17,14/12/2022,22900,20400,20400,22900,2172851,22900
18,15/12/2022,23400,22300,23000,22700,848421,22700
19,16/12/2022,23500,22400,22800,22600,1318126,22600
20,19/12/2022,23100,21400,22600,21600,1191198,21600
21,20/12/2022,21800,20400,21200,20900,1309024,20900
22,21/12/2022,21200,19800,21000,20900,728885,20900
23,22/12/2022,21300,20500,20800,21000,453938,21000
24,23/12/2022,21100,20500,20900,20800,290550,20800
25,26/12/2022,21000,19400,20800,19700,662305,19700
26,27/12/2022,20700,19600,19800,20600,494658,20600
27,28/12/2022,20600,20200,20300,20300,187770,20300
28,29/12/2022,20500,19800,20500,19900,302932,19900
29,30/12/2022,20200,19900,20100,20000,195314,20000
30,03/01/2023,21400,20000,20000,21300,564631,21300
31,04/01/2023,22500,21300,21300,21900,888298,21900
32,05/01/2023,22200,21300,22000,21800,494294,21800
33,06/01/2023,22500,21300,21600,21700,1135778,21700
34,09/01/2023,22000,21400,21800,21600,289086,21600
35,10/01/2023,21600,21000,21500,21400,331781,21400
36,11/01/2023,21800,21300,21300,21500,415144,21500
37,12/01/2023,21800,21200,21600,21600,342450,21600
38,13/01/2023,22800,21600,21600,22400,1162447,22400
39,16/01/2023,22700,22200,22400,22300,422492,22300
40,17/01/2023,22700,22400,22400,22700,736112,22700
41,18/01/2023,23500,22700,22700,23100,756059,23100
42,19/01/2023,23100,22700,23100,23100,653121,23100
43,27/01/2023,24000,23000,23400,23200,662756,23200
44,30/01/2023,23300,22600,23200,22600,712043,22600
45,31/01/2023,22900,22100,22600,22800,1179316,22800
46,01/02/2023,23000,21500,23000,21800,848948,21800
47,02/02/2023,22100,21000,21800,21300,825408,21300
48,03/02/2023,21700,20900,21300,21300,444853,21300
49,06/02/2023,21300,20500,21200,20700,508879,20700
50,07/02/2023,21300,20600,20700,20800,398063,20800
51,08/02/2023,20900,20400,20800,20800,349840,20800
52,09/02/2023,21300,20700,20800,21100,329453,21100
53,10/02/2023,21100,20600,21000,20800,215915,20800
54,13/02/2023,20900,20000,20800,20400,431831,20400
55,14/02/2023,20600,20200,20400,20600,167577,20600
56,15/02/2023,21100,20500,20500,21000,453757,21000
57,16/02/2023,21300,20900,21100,21300,282151,21300
58,17/02/2023,21400,20800,21300,21100,212858,21100
59,20/02/2023,21900,21000,21100,21800,464644,21800
60,21/02/2023,21900,21400,21800,21600,458145,21600
61,22/02/2023,21400,20500,21400,20600,528655,20600
62,23/02/2023,20900,20100,20600,20900,437135,20900
63,24/02/2023,20900,20200,20600,20400,162610,20400
64,27/02/2023,20500,19900,20400,20000,335361,20000
65,28/02/2023,20300,20000,20300,20100,172085,20100
66,01/03/2023,20600,19800,20100,20500,213420,20500
67,02/03/2023,20600,20300,20400,20400,111100,20400
68,03/03/2023,20700,20000,20400,20300,225518,20300
69,06/03/2023,20700,20200,20300,20400,257710,20400
70,07/03/2023,20500,20300,20400,20400,116409,20400
71,08/03/2023,20500,20000,20200,20500,216850,20500
72,09/03/2023,20800,20300,20600,20700,265061,20700
73,10/03/2023,21200,20400,20700,20700,217567,20700
74,13/03/2023,20800,20200,20700,20300,216787,20300
75,14/03/2023,20300,19900,20300,20000,290810,20000
76,15/03/2023,20600,20200,20200,20600,316513,20600
77,16/03/2023,20400,20100,20400,20400,136949,20400
78,17/03/2023,20400,20100,20300,20300,121221,20300
79,20/03/2023,20300,19800,20100,19900,275410,19900
80,21/03/2023,20100,19600,20000,20100,202810,20100
81,22/03/2023,20200,19900,20200,20000,103916,20000
82,23/03/2023,20000,19800,19800,20000,112179,20000
83,24/03/2023,20200,19900,20000,20000,121536,20000
84,27/03/2023,20300,20000,20000,20200,109832,20200
85,28/03/2023,20500,20100,20300,20200,217907,20200
