,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9400,8500,9400,8800,2900,8700
1,22/11/2022,9200,9200,9200,9200,200,9100
2,23/11/2022,9200,9200,9200,9200,-,9100
3,24/11/2022,9100,8100,8100,9100,70400,9000
4,25/11/2022,9000,8800,9000,9000,500,8900
5,28/11/2022,9400,8900,8900,9200,900,9100
6,29/11/2022,9400,8100,9000,9100,14300,9000
7,30/11/2022,9100,9100,9100,9100,1100,9000
8,01/12/2022,10000,9200,9200,10000,1100,9900
9,02/12/2022,10000,9100,10000,9100,200,9000
10,05/12/2022,10000,8500,10000,10000,700,9900
11,06/12/2022,9300,9300,9300,9300,200,9200
12,07/12/2022,9300,9000,9000,9300,600,9200
13,08/12/2022,10200,9200,9200,10200,1000,10100
14,09/12/2022,9700,9700,9700,9700,-,9600
15,12/12/2022,10400,10200,10200,10400,200,10300
16,13/12/2022,10300,10300,10300,10300,-,10200
17,14/12/2022,10300,10300,10300,10300,-,10200
18,15/12/2022,10300,10300,10300,10300,-,10200
19,16/12/2022,10300,10300,10300,10300,-,10200
20,19/12/2022,10300,10300,10300,10300,-,10200
21,20/12/2022,9800,9000,9000,9500,5800,9400
22,21/12/2022,9500,9500,9500,9500,3000,9400
23,22/12/2022,9100,9100,9100,9100,100,9000
24,23/12/2022,9500,9300,9500,9300,4800,9200
25,26/12/2022,9400,9400,9400,9400,-,9300
26,27/12/2022,9400,9300,9300,9400,1100,9300
27,28/12/2022,9900,9000,9900,9500,18700,9400
28,29/12/2022,10900,9900,9900,10900,46518,10700
29,30/12/2022,12000,12000,12000,12000,23000,11800
30,03/01/2023,13800,13800,13800,13800,64800,13600
31,04/01/2023,15800,13900,15800,14400,112700,14200
32,05/01/2023,14100,13800,13900,13800,77200,13600
33,06/01/2023,14300,13800,14300,13900,114300,13700
34,09/01/2023,13800,12500,13800,13700,36700,13500
35,10/01/2023,13900,13000,13900,13400,15318,13200
36,11/01/2023,13900,13200,13900,13300,29300,13100
37,12/01/2023,14300,13500,14300,13500,11800,13300
38,13/01/2023,14000,13600,13800,13900,30400,13700
39,16/01/2023,13700,13500,13700,13500,31900,13300
40,17/01/2023,14200,13700,13900,14100,36800,13900
