,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7000,7000,7000,7000,500,7000
1,22/11/2022,6000,6000,6000,6000,700,6000
2,23/11/2022,6000,6000,6000,6000,-,6000
3,24/11/2022,6000,6000,6000,6000,1,6000
4,25/11/2022,6000,6000,6000,6000,-,6000
5,28/11/2022,6000,6000,6000,6000,-,6000
6,29/11/2022,5200,5200,5200,5200,100,5200
7,30/11/2022,5200,5200,5200,5200,-,5200
8,01/12/2022,5700,4500,4500,5700,9208,5700
9,02/12/2022,4700,4700,4700,4700,-,4700
10,05/12/2022,4700,4700,4700,4700,-,4700
11,06/12/2022,4700,4700,4700,4700,-,4700
12,07/12/2022,4700,4700,4700,4700,-,4700
13,08/12/2022,4100,4000,4100,4000,1500,4000
14,09/12/2022,4600,4600,4600,4600,1400,4600
15,12/12/2022,5200,5200,5200,5200,1000,5200
16,13/12/2022,5200,4600,5200,4600,3300,4600
17,14/12/2022,5300,5300,5300,5300,700,5300
18,15/12/2022,5400,5400,5400,5400,100,5400
19,16/12/2022,5400,5400,5400,5400,-,5400
20,19/12/2022,6200,6200,6200,6200,100,6200
21,20/12/2022,6200,6200,6200,6200,-,6200
22,21/12/2022,6200,6200,6200,6200,-,6200
23,22/12/2022,5300,5300,5300,5300,100,5300
24,23/12/2022,4600,4600,4600,4600,7800,4600
25,26/12/2022,4100,4000,4100,4100,4800,4100
26,27/12/2022,3800,3800,3800,3800,3590,3800
27,28/12/2022,3800,3800,3800,3800,-,3800
28,29/12/2022,3800,3800,3800,3800,100,3800
29,30/12/2022,3800,3800,3800,3800,-,3800
30,03/01/2023,3800,3800,3800,3800,-,3800
31,04/01/2023,3800,3800,3800,3800,100,3800
32,05/01/2023,3800,3800,3800,3800,-,3800
33,06/01/2023,3600,3300,3600,3300,1200,3300
34,09/01/2023,3300,3300,3300,3300,-,3300
35,10/01/2023,3700,3700,3700,3700,100,3700
36,11/01/2023,4200,4200,4200,4200,100,4200
37,12/01/2023,4200,4200,4200,4200,100,4200
38,13/01/2023,4200,4200,4200,4200,-,4200
39,16/01/2023,4200,4200,4200,4200,-,4200
40,17/01/2023,4200,4200,4200,4200,-,4200
41,18/01/2023,4200,4200,4200,4200,-,4200
42,19/01/2023,4200,4200,4200,4200,-,4200
43,27/01/2023,4200,4200,4200,4200,100,4200
44,30/01/2023,4200,4200,4200,4200,-,4200
45,31/01/2023,4200,4200,4200,4200,300,4200
46,01/02/2023,4200,4200,4200,4200,-,4200
47,02/02/2023,4200,4200,4200,4200,-,4200
48,03/02/2023,4200,4200,4200,4200,-,4200
49,06/02/2023,4800,4800,4800,4800,100,4800
50,07/02/2023,4800,4800,4800,4800,-,4800
51,08/02/2023,4800,4800,4800,4800,-,4800
52,09/02/2023,4200,4200,4200,4200,100,4200
53,10/02/2023,4200,4200,4200,4200,40,4200
54,13/02/2023,4200,4200,4200,4200,-,4200
55,14/02/2023,4200,4200,4200,4200,-,4200
56,15/02/2023,4200,4200,4200,4200,-,4200
57,16/02/2023,4200,4200,4200,4200,-,4200
58,17/02/2023,4200,4200,4200,4200,-,4200
59,20/02/2023,4200,4200,4200,4200,-,4200
60,21/02/2023,4200,4200,4200,4200,-,4200
61,22/02/2023,4200,4200,4200,4200,-,4200
62,23/02/2023,4200,4200,4200,4200,-,4200
63,24/02/2023,4200,4200,4200,4200,-,4200
64,27/02/2023,4200,4200,4200,4200,-,4200
65,28/02/2023,4200,4200,4200,4200,-,4200
66,01/03/2023,3600,3600,3600,3600,200,3600
67,02/03/2023,3100,3100,3100,3100,6601,3100
68,03/03/2023,3100,3100,3100,3100,-,3100
69,06/03/2023,3100,3100,3100,3100,-,3100
70,07/03/2023,3100,3100,3100,3100,-,3100
71,08/03/2023,3100,3100,3100,3100,-,3100
72,09/03/2023,3100,3100,3100,3100,511,3100
73,10/03/2023,3100,3100,3100,3100,-,3100
74,13/03/2023,3000,3000,3000,3000,300,3000
75,14/03/2023,3000,3000,3000,3000,-,3000
76,15/03/2023,3400,3400,3400,3400,500,3400
77,16/03/2023,3400,3400,3400,3400,18,3400
78,17/03/2023,3400,3400,3400,3400,100,3400
79,20/03/2023,3400,3400,3400,3400,-,3400
80,21/03/2023,3500,3500,3500,3500,400,3500
81,22/03/2023,3500,3500,3500,3500,1000,3500
82,23/03/2023,3500,3500,3500,3500,31,3500
83,24/03/2023,3500,3500,3500,3500,1,3500
84,27/03/2023,3500,3500,3500,3500,-,3500
85,28/03/2023,3500,3500,3500,3500,-,3500
86,29/03/2023,3500,3500,3500,3500,1,3500
87,30/03/2023,3500,3500,3500,3500,-,3500
88,31/03/2023,3000,3000,3000,3000,1900,3000
89,03/04/2023,3400,3400,3400,3400,700,3400
90,04/04/2023,3400,3400,3400,3400,-,3400
91,05/04/2023,3400,3400,3400,3400,-,3400
92,06/04/2023,3400,3400,3400,3400,2,3400
93,07/04/2023,3400,3400,3400,3400,-,3400
94,10/04/2023,3400,3400,3400,3400,-,3400
95,11/04/2023,3100,3100,3100,3100,100,3100
96,12/04/2023,3100,3100,3100,3100,-,3100
97,13/04/2023,3100,3100,3100,3100,-,3100
98,14/04/2023,3100,3100,3100,3100,1000,3100
99,17/04/2023,3100,3100,3100,3100,-,3100
100,18/04/2023,3400,3000,3000,3400,600,3400
101,19/04/2023,3100,3100,3100,3100,-,3100
102,20/04/2023,3100,3100,3100,3100,-,3100
103,21/04/2023,3400,3000,3400,3000,200,3000
104,24/04/2023,3200,3200,3200,3200,-,3200
105,25/04/2023,3500,3500,3500,3500,100,3500
106,26/04/2023,3400,3000,3000,3400,210,3400
107,27/04/2023,3200,3200,3200,3200,-,3200
108,28/04/2023,3600,2800,2800,3600,4000,3600
109,04/05/2023,4000,4000,4000,4000,400,4000
110,05/05/2023,3700,3700,3700,3700,100,3700
111,08/05/2023,4000,4000,4000,4000,700,4000
112,09/05/2023,4000,4000,4000,4000,-,4000
113,10/05/2023,3600,3600,3600,3600,100,3600
114,11/05/2023,3600,3600,3600,3600,-,3600
115,12/05/2023,3600,3600,3600,3600,100,3600
116,15/05/2023,3600,3600,3600,3600,1000,3600
117,16/05/2023,3200,3200,3200,3200,100,3200
118,17/05/2023,3600,3600,3600,3600,100,3600
119,18/05/2023,3600,3600,3600,3600,-,3600
120,19/05/2023,3700,3100,3100,3700,301,3700
121,22/05/2023,4000,3800,3800,3800,600,3800
122,23/05/2023,4000,4000,4000,4000,305,4000
123,24/05/2023,4000,4000,4000,4000,200,4000
124,25/05/2023,4000,4000,4000,4000,-,4000
125,26/05/2023,4400,3400,3400,4400,301,4400
126,29/05/2023,3900,3900,3900,3900,-,3900
127,30/05/2023,4400,4300,4400,4300,500,4300
128,31/05/2023,4600,4600,4600,4600,303,4600
129,01/06/2023,4000,4000,4000,4000,3300,4000
130,02/06/2023,4200,4200,4200,4200,300,4200
131,05/06/2023,4200,4200,4200,4200,-,4200
132,06/06/2023,4300,4200,4200,4300,3400,4300
133,07/06/2023,4300,3700,3700,4300,300,4300
134,08/06/2023,4500,3500,3500,4500,200,4500
135,09/06/2023,3900,3900,3900,3900,900,3900
136,12/06/2023,3900,3900,3900,3900,-,3900
137,13/06/2023,4400,4200,4400,4200,500,4200
138,14/06/2023,4200,4200,4200,4200,-,4200
139,15/06/2023,3700,3700,3700,3700,100,3700
140,16/06/2023,3400,3400,3400,3400,100,3400
141,19/06/2023,3400,3400,3400,3400,-,3400
142,20/06/2023,2900,2900,2900,2900,100,2900
143,21/06/2023,2900,2900,2900,2900,100,2900
144,22/06/2023,3300,3300,3300,3300,100,3300
145,23/06/2023,3700,3700,3700,3700,100,3700
146,26/06/2023,4200,4200,4200,4200,6700,4200
147,27/06/2023,4800,4500,4500,4800,3303,4800
148,28/06/2023,5500,5200,5200,5500,1000,5500
149,29/06/2023,6200,6000,6100,6200,2200,6200
150,30/06/2023,7000,6500,7000,7000,4400,7000
151,03/07/2023,7700,7600,7700,7600,3000,7600
152,04/07/2023,8800,7700,8800,7700,700,7700
153,05/07/2023,8000,6800,7000,6800,1200,6800
154,06/07/2023,6300,6300,6300,6300,1500,6300
155,07/07/2023,7200,5400,7200,5400,1400,5400
156,10/07/2023,4800,4800,4800,4800,203,4800
157,11/07/2023,5500,5500,5500,5500,300,5500
158,12/07/2023,6300,6300,6300,6300,5800,6300
159,13/07/2023,7100,6800,7100,6800,1800,6800
160,14/07/2023,6900,6900,6900,6900,-,6900
161,17/07/2023,6400,5900,6400,5900,1700,5900
162,18/07/2023,7000,7000,7000,7000,300,7000
163,19/07/2023,7000,7000,7000,7000,-,7000
164,20/07/2023,6300,6000,6000,6300,1200,6300
165,21/07/2023,6300,6200,6300,6200,205,6200
166,24/07/2023,6300,6300,6300,6300,-,6300
167,25/07/2023,6900,6300,6900,6300,700,6300
168,26/07/2023,6500,6500,6500,6500,-,6500
169,27/07/2023,5700,5600,5700,5600,3300,5600
170,28/07/2023,6000,6000,6000,6000,100,6000
171,31/07/2023,6700,6000,6000,6300,3526,6300
172,01/08/2023,6500,6500,6500,6500,-,6500
173,02/08/2023,6300,6300,6300,6300,100,6300
174,03/08/2023,5600,5500,5500,5600,1600,5600
175,04/08/2023,5600,5600,5600,5600,5,5600
176,07/08/2023,5700,5600,5700,5600,2006,5600
177,08/08/2023,5600,5600,5600,5600,-,5600
178,09/08/2023,5900,5600,5900,5600,805,5600
179,10/08/2023,5800,5700,5800,5800,1757,5800
180,11/08/2023,5800,5000,5000,5800,1300,5800
181,14/08/2023,5500,5500,5500,5500,105,5500
182,15/08/2023,6100,6100,6100,6100,100,6100
183,16/08/2023,6100,6100,6100,6100,200,6100
184,17/08/2023,6100,5800,6100,5800,1415,5800
185,18/08/2023,6000,6000,6000,6000,-,6000
186,21/08/2023,5100,5100,5100,5100,100,5100
187,22/08/2023,5400,5400,5400,5400,300,5400
188,23/08/2023,5400,5400,5400,5400,500,5400
189,24/08/2023,5400,5400,5400,5400,500,5400
190,25/08/2023,5400,5400,5400,5400,-,5400
191,28/08/2023,5400,5400,5400,5400,1000,5400
192,29/08/2023,5400,5400,5400,5400,-,5400
193,30/08/2023,6100,5900,5900,5900,1300,5900
194,31/08/2023,6000,6000,6000,6000,-,6000
195,05/09/2023,6000,6000,6000,6000,100,6000
196,06/09/2023,6000,6000,6000,6000,-,6000
197,07/09/2023,5300,5100,5100,5300,200,5300
198,08/09/2023,5900,5900,5900,5900,320345,5900
199,11/09/2023,6700,6700,6700,6700,3500,6700
200,12/09/2023,7600,6600,6700,7300,2800,7300
201,13/09/2023,7900,6500,7900,7500,3200,7500
202,14/09/2023,8100,6200,7800,7800,2123,7800
203,15/09/2023,8300,7500,7500,8300,700,8300
204,18/09/2023,8300,6500,8300,7600,600,7600
205,19/09/2023,7300,6400,6400,7300,200,7300
206,20/09/2023,7100,7100,7100,7100,100,7100
207,21/09/2023,7100,7100,7100,7100,-,7100
208,22/09/2023,7100,7100,7100,7100,-,7100
209,25/09/2023,7100,7100,7100,7100,-,7100
210,26/09/2023,7100,7100,7100,7100,-,7100
211,27/09/2023,7100,7100,7100,7100,117455,7100
212,28/09/2023,7100,7100,7100,7100,-,7100
213,29/09/2023,6900,6900,6900,6900,200,6900
214,02/10/2023,6900,6700,6700,6900,400,6900
215,03/10/2023,6800,6800,6800,6800,-,6800
