,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18200,18200,18200,18200,-,16600
1,22/11/2022,20000,20000,20000,20000,1000,18200
2,23/11/2022,23000,23000,23000,23000,1000,21000
3,24/11/2022,26400,26400,26400,26400,7700,24100
4,25/11/2022,30300,29500,30300,29500,1900,26900
5,28/11/2022,30200,25700,30200,25700,6300,23400
6,29/11/2022,25700,23600,25700,23600,1400,21500
7,30/11/2022,23600,20800,20800,23600,1300,21500
8,01/12/2022,21000,21000,21000,21000,746,19100
9,02/12/2022,21000,21000,21000,21000,2200,19100
10,05/12/2022,21000,21000,21000,21000,1100,19100
11,06/12/2022,23500,23500,23500,23500,1000,21400
12,07/12/2022,23500,23500,23500,23500,-,21400
13,08/12/2022,27000,27000,27000,27000,500,24600
14,09/12/2022,27000,27000,27000,27000,-,24600
15,12/12/2022,27000,27000,27000,27000,-,24600
16,13/12/2022,27000,27000,27000,27000,-,24600
17,14/12/2022,27000,27000,27000,27000,-,24600
18,15/12/2022,27000,27000,27000,27000,-,24600
19,16/12/2022,23000,23000,23000,23000,100,21000
20,19/12/2022,23000,23000,23000,23000,-,21000
21,20/12/2022,19700,19700,19700,19700,300,17900
22,21/12/2022,19700,19700,19700,19700,1000,17900
23,22/12/2022,19700,19700,19700,19700,-,17900
24,23/12/2022,19700,19700,19700,19700,-,17900
25,26/12/2022,22000,22000,22000,22000,200,20000
26,27/12/2022,22000,22000,22000,22000,-,20000
27,28/12/2022,25000,25000,25000,25000,500,22800
28,29/12/2022,25000,25000,25000,25000,-,22800
29,30/12/2022,25000,25000,25000,25000,-,22800
30,03/01/2023,25000,25000,25000,25000,-,22800
31,04/01/2023,25000,25000,25000,25000,-,22800
32,05/01/2023,25000,25000,25000,25000,-,22800
33,06/01/2023,25000,25000,25000,25000,-,22800
34,09/01/2023,25000,25000,25000,25000,-,22800
35,10/01/2023,25000,25000,25000,25000,-,22800
36,11/01/2023,25000,25000,25000,25000,-,22800
37,12/01/2023,25000,25000,25000,25000,-,22800
38,13/01/2023,25000,25000,25000,25000,-,22800
39,16/01/2023,25000,25000,25000,25000,-,22800
40,17/01/2023,25000,25000,25000,25000,-,22800
41,18/01/2023,25000,25000,25000,25000,-,22800
42,19/01/2023,25000,25000,25000,25000,-,22800
43,27/01/2023,25000,25000,25000,25000,-,22800
44,30/01/2023,25000,25000,25000,25000,-,22800
45,31/01/2023,25000,25000,25000,25000,-,22800
46,01/02/2023,25000,25000,25000,25000,-,22800
47,02/02/2023,25000,25000,25000,25000,-,22800
48,03/02/2023,25000,25000,25000,25000,-,22800
49,06/02/2023,25000,25000,25000,25000,-,22800
50,07/02/2023,21300,21300,21300,21300,400,19400
51,08/02/2023,20500,20500,20500,20500,300,18700
52,09/02/2023,20500,20500,20500,20500,-,18700
53,10/02/2023,20500,20500,20500,20500,-,18700
54,13/02/2023,20500,20500,20500,20500,-,18700
55,14/02/2023,20500,20500,20500,20500,-,18700
56,15/02/2023,20500,20500,20500,20500,-,18700
57,16/02/2023,20500,20500,20500,20500,100,18700
58,17/02/2023,20500,20500,20500,20500,100,18700
59,20/02/2023,23500,23500,23500,23500,100,21400
60,21/02/2023,23500,23500,23500,23500,50,21400
61,22/02/2023,23500,23500,23500,23500,-,21400
62,23/02/2023,23500,23500,23500,23500,-,21400
63,24/02/2023,27000,20000,20000,27000,4500,24600
64,27/02/2023,26000,26000,26000,26000,-,23700
65,28/02/2023,26000,26000,26000,26000,-,23700
66,01/03/2023,25500,25400,25400,25400,300,23100
67,02/03/2023,25400,25400,25400,25400,-,23100
68,03/03/2023,29000,29000,29000,29000,4900,26400
69,06/03/2023,28900,28900,28900,28900,12000,26300
70,07/03/2023,28900,28900,28900,28900,-,26300
71,08/03/2023,28900,28900,28900,28900,-,26300
72,09/03/2023,28900,28900,28900,28900,-,26300
73,10/03/2023,28900,28900,28900,28900,-,26300
74,13/03/2023,28900,28900,28900,28900,-,26300
75,14/03/2023,28900,28900,28900,28900,-,26300
76,15/03/2023,28900,28900,28900,28900,-,26300
77,16/03/2023,28900,28900,28900,28900,-,26300
78,17/03/2023,28900,28900,28900,28900,-,26300
79,20/03/2023,28900,28900,28900,28900,-,26300
80,21/03/2023,28900,28900,28900,28900,-,26300
81,22/03/2023,28900,28900,28900,28900,-,26300
82,23/03/2023,28900,28900,28900,28900,-,26300
83,24/03/2023,28900,28900,28900,28900,-,26300
84,27/03/2023,28900,28900,28900,28900,-,26300
85,28/03/2023,28900,28900,28900,28900,-,26300
86,29/03/2023,28900,28900,28900,28900,100,26300
87,30/03/2023,28900,28900,28900,28900,-,26300
88,31/03/2023,28900,28900,28900,28900,-,26300
89,03/04/2023,24600,24600,24600,24600,1000,22400
90,04/04/2023,24600,24600,24600,24600,-,22400
91,05/04/2023,28000,28000,28000,28000,100,25500
92,06/04/2023,32000,32000,32000,32000,5000,29200
93,07/04/2023,32000,32000,32000,32000,-,29200
94,10/04/2023,32000,32000,32000,32000,-,29200
95,11/04/2023,32000,32000,32000,32000,-,29200
96,12/04/2023,32000,32000,32000,32000,-,29200
97,13/04/2023,32000,32000,32000,32000,-,29200
98,14/04/2023,32000,32000,32000,32000,-,29200
99,17/04/2023,32000,32000,32000,32000,-,29200
100,18/04/2023,32000,32000,32000,32000,-,29200
101,19/04/2023,32000,32000,32000,32000,-,29200
102,20/04/2023,32000,32000,32000,32000,-,29200
103,21/04/2023,32000,32000,32000,32000,-,29200
104,24/04/2023,32000,32000,32000,32000,-,29200
105,25/04/2023,32000,32000,32000,32000,-,29200
106,26/04/2023,32000,32000,32000,32000,-,29200
107,27/04/2023,32000,32000,32000,32000,-,29200
108,28/04/2023,32000,32000,32000,32000,-,29200
109,04/05/2023,32000,32000,32000,32000,-,29200
110,05/05/2023,29000,29000,29000,29000,100,26400
111,08/05/2023,29000,29000,29000,29000,-,26400
112,09/05/2023,29000,29000,29000,29000,-,26400
113,10/05/2023,29000,29000,29000,29000,100,26400
114,11/05/2023,29000,29000,29000,29000,-,26400
115,12/05/2023,29500,29500,29500,29500,2501,26900
116,15/05/2023,29500,29500,29500,29500,4,26900
117,16/05/2023,33800,32000,32000,33800,200,30800
118,17/05/2023,34900,28000,28000,34900,300,31800
119,18/05/2023,32600,32600,32600,32600,-,29700
120,19/05/2023,31000,31000,31000,31000,200,28200
121,22/05/2023,30000,28900,30000,28900,1000,26300
122,23/05/2023,29200,29200,29200,29200,-,26600
123,24/05/2023,29200,29200,29200,29200,-,26600
124,25/05/2023,33000,33000,33000,33000,100,30100
125,26/05/2023,29300,28100,29300,28100,300,25600
