,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,20500,20500,20500,20500,-,19400
1,22/11/2022,20500,20500,20500,20500,-,19400
2,23/11/2022,20500,20500,20500,20500,74812,19400
3,24/11/2022,20500,20500,20500,20500,-,19400
4,25/11/2022,20500,20500,20500,20500,-,19400
5,28/11/2022,20500,20500,20500,20500,-,19400
6,29/11/2022,20500,20500,20500,20500,-,19400
7,30/11/2022,20500,20500,20500,20500,68011,19400
8,01/12/2022,20500,20500,20500,20500,-,19400
9,02/12/2022,20500,20500,20500,20500,-,19400
10,05/12/2022,20500,20500,20500,20500,-,19400
11,06/12/2022,20500,20500,20500,20500,95215,19400
12,07/12/2022,20500,20500,20500,20500,-,19400
13,08/12/2022,20500,20500,20500,20500,-,19400
14,09/12/2022,20500,20500,20500,20500,-,19400
15,12/12/2022,20500,20500,20500,20500,-,19400
16,13/12/2022,20500,20500,20500,20500,88414,19400
17,14/12/2022,20500,20500,20500,20500,-,19400
18,15/12/2022,20500,20500,20500,20500,88414,19400
19,16/12/2022,20500,20500,20500,20500,-,19400
20,19/12/2022,20500,20500,20500,20500,-,19400
21,20/12/2022,20500,20500,20500,20500,-,19400
22,21/12/2022,20500,20500,20500,20500,68011,19400
23,22/12/2022,20500,20500,20500,20500,3100,19400
24,23/12/2022,20500,20500,20500,20500,5300,19400
25,26/12/2022,20500,20500,20500,20500,-,19400
26,27/12/2022,20500,20500,20500,20500,-,19400
27,28/12/2022,20500,20500,20500,20500,136022,19400
28,29/12/2022,20500,20500,20500,20500,-,19400
29,30/12/2022,20500,20500,20500,20500,-,19400
30,03/01/2023,20500,20500,20500,20500,-,19400
31,04/01/2023,20500,20500,20500,20500,-,19400
32,05/01/2023,20500,20500,20500,20500,115617,19400
33,06/01/2023,20500,20500,20500,20500,-,19400
34,09/01/2023,20500,20500,20500,20500,-,19400
35,10/01/2023,20500,20500,20500,20500,-,19400
36,11/01/2023,20500,20500,20500,20500,129211,19400
37,12/01/2023,20500,20500,20500,20500,-,19400
38,13/01/2023,20500,20500,20500,20500,-,19400
39,16/01/2023,20500,20500,20500,20500,-,19400
40,17/01/2023,20500,20500,20500,20500,-,19400
41,18/01/2023,20500,20500,20500,20500,-,19400
42,19/01/2023,20500,20500,20500,20500,-,19400
43,27/01/2023,20500,20500,20500,20500,-,19400
44,30/01/2023,20500,20500,20500,20500,-,19400
45,31/01/2023,20500,20500,20500,20500,-,19400
46,01/02/2023,20500,20500,20500,20500,-,19400
47,02/02/2023,20500,20500,20500,20500,-,19400
48,03/02/2023,20500,20500,20500,20500,-,19400
49,06/02/2023,20500,20500,20500,20500,-,19400
50,07/02/2023,20500,20500,20500,20500,-,19400
51,08/02/2023,20500,20500,20500,20500,-,19400
52,09/02/2023,20500,20500,20500,20500,-,19400
53,10/02/2023,20500,20500,20500,20500,-,19400
54,13/02/2023,20500,20500,20500,20500,-,19400
55,14/02/2023,20500,20500,20500,20500,-,19400
56,15/02/2023,20500,20500,20500,20500,-,19400
57,16/02/2023,20500,20500,20500,20500,-,19400
58,17/02/2023,20500,20500,20500,20500,-,19400
59,20/02/2023,20500,20500,20500,20500,-,19400
60,21/02/2023,20500,20500,20500,20500,-,19400
61,22/02/2023,20500,20500,20500,20500,-,19400
62,23/02/2023,20500,20500,20500,20500,-,19400
63,24/02/2023,20500,20500,20500,20500,-,19400
64,27/02/2023,20500,20500,20500,20500,-,19400
65,28/02/2023,20500,20500,20500,20500,-,19400
66,01/03/2023,20500,20500,20500,20500,-,19400
67,02/03/2023,20500,20500,20500,20500,-,19400
68,03/03/2023,20500,20500,20500,20500,-,19400
69,06/03/2023,20500,20500,20500,20500,-,19400
70,07/03/2023,20500,20500,20500,20500,-,19400
71,08/03/2023,20500,20500,20500,20500,-,19400
72,09/03/2023,20500,20500,20500,20500,-,19400
73,10/03/2023,20500,20500,20500,20500,-,19400
74,13/03/2023,20500,20500,20500,20500,-,19400
75,14/03/2023,20500,20500,20500,20500,-,19400
76,15/03/2023,20500,20500,20500,20500,-,19400
77,16/03/2023,20500,20500,20500,20500,-,19400
78,17/03/2023,20500,20500,20500,20500,-,19400
79,20/03/2023,20500,20500,20500,20500,-,19400
80,21/03/2023,20500,20500,20500,20500,-,19400
81,22/03/2023,20500,20500,20500,20500,-,19400
82,23/03/2023,20500,20500,20500,20500,-,19400
83,24/03/2023,20500,20500,20500,20500,-,19400
84,27/03/2023,20500,20500,20500,20500,-,19400
85,28/03/2023,20500,20500,20500,20500,-,19400
86,29/03/2023,17500,17500,17500,17500,100,16600
87,30/03/2023,17500,17500,17500,17500,-,16600
88,31/03/2023,17500,17500,17500,17500,-,16600
89,03/04/2023,17500,17500,17500,17500,-,16600
90,04/04/2023,17500,17500,17500,17500,-,16600
91,05/04/2023,17500,17500,17500,17500,9725962,16600
92,06/04/2023,17500,17500,17500,17500,100,16600
93,07/04/2023,17500,17500,17500,17500,-,16600
94,10/04/2023,17500,17500,17500,17500,-,16600
95,11/04/2023,17500,17500,17500,17500,-,16600
96,12/04/2023,17500,17500,17500,17500,-,16600
97,13/04/2023,17500,17500,17500,17500,-,16600
98,14/04/2023,17500,17500,17500,17500,-,16600
99,17/04/2023,17500,17500,17500,17500,-,16600
100,18/04/2023,17500,17500,17500,17500,-,16600
101,19/04/2023,17500,17500,17500,17500,-,16600
102,20/04/2023,17500,17500,17500,17500,-,16600
103,21/04/2023,17500,17500,17500,17500,-,16600
104,24/04/2023,20100,20100,20100,20100,100,19000
105,25/04/2023,17500,17500,17500,17500,100,16600
106,26/04/2023,17500,17500,17500,17500,-,16600
107,27/04/2023,17500,17500,17500,17500,-,16600
