,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,24900,23100,24900,24000,7310,22100
1,22/11/2022,26400,24500,24600,26000,1902,23900
2,23/11/2022,26100,22100,22100,25300,900,23300
3,24/11/2022,25000,25000,25000,25000,-,23000
4,25/11/2022,26000,25300,26000,25500,1100,23400
5,28/11/2022,27000,23600,25500,26400,1725,24300
6,29/11/2022,30100,27000,27000,30100,10800,27700
7,30/11/2022,32500,30000,31000,30000,2401,27600
8,01/12/2022,32000,30400,31000,30400,20600,28000
9,02/12/2022,31500,30100,30700,31500,4300,29000
10,05/12/2022,35100,31000,35100,32000,5780,29400
11,06/12/2022,34700,31200,34700,31700,4100,29100
12,07/12/2022,32500,27500,31000,32000,4900,29400
13,08/12/2022,30100,30000,30100,30000,3500,27600
14,09/12/2022,29900,29900,29900,29900,106,27500
15,12/12/2022,32000,29900,30000,29900,15100,27500
16,13/12/2022,30000,30000,30000,30000,600,27600
17,14/12/2022,30500,29800,30000,30500,9400,28000
18,15/12/2022,30000,29000,29000,30000,2900,27600
19,16/12/2022,29400,29400,29400,29400,-,27000
20,19/12/2022,29400,29400,29400,29400,100,27000
21,20/12/2022,29400,29400,29400,29400,-,27000
22,21/12/2022,30000,30000,30000,30000,1500,27600
23,22/12/2022,32500,27000,32500,30000,11300,27600
24,23/12/2022,27100,27100,27100,27100,2055,24900
25,26/12/2022,26500,26500,26500,26500,100,24400
26,27/12/2022,28800,25000,25000,28700,2900,26400
27,28/12/2022,30100,29900,30100,30000,2000,27600
28,29/12/2022,29000,28000,29000,28000,600,25700
29,30/12/2022,29100,28800,28800,29000,1300,26700
30,03/01/2023,30500,26100,26200,30500,400,28000
31,04/01/2023,30300,27500,30300,28000,2000,25700
32,05/01/2023,28000,27000,28000,27300,5000,25100
33,06/01/2023,29700,27200,27200,29700,1900,27300
34,09/01/2023,28500,27900,27900,27900,405,27800
35,10/01/2023,28100,24500,28100,24500,3200,24400
36,11/01/2023,27700,27000,27000,27600,5400,27500
37,12/01/2023,28600,28600,28600,28600,100,28500
38,13/01/2023,28500,28000,28000,28100,3500,28000
39,16/01/2023,28200,28200,28200,28200,800,28100
40,17/01/2023,28000,26200,26200,28000,800,27900
41,18/01/2023,29900,27800,27800,29800,5305,29700
42,19/01/2023,30000,29400,29400,30000,900,29900
43,27/01/2023,29800,29800,29800,29800,1000,29700
44,30/01/2023,30400,27200,27200,30400,200,30300
45,31/01/2023,32000,28200,31000,32000,38400,31900
46,01/02/2023,32700,31400,32700,31800,13700,31700
47,02/02/2023,31800,28100,28100,31800,1300,31700
48,03/02/2023,29300,29200,29200,29200,400,29100
49,06/02/2023,29200,29200,29200,29200,-,29100
50,07/02/2023,30000,30000,30000,30000,100,29900
51,08/02/2023,31800,25500,27000,31600,61100,31500
52,09/02/2023,30000,29200,29200,30000,600,29900
53,10/02/2023,29900,29900,29900,29900,100,29900
54,13/02/2023,28500,28000,28100,28500,7101,28500
55,14/02/2023,27000,26500,27000,26500,1600,26500
56,15/02/2023,26600,26600,26600,26600,500,26600
57,16/02/2023,28500,26800,28000,28500,2800,28500
58,17/02/2023,27500,27500,27500,27500,100,27500
59,20/02/2023,28000,27700,28000,28000,11700,28000
60,21/02/2023,28100,28000,28100,28000,1470,28000
61,22/02/2023,28000,28000,28000,28000,1200,28000
62,23/02/2023,27900,27900,27900,27900,211,27900
63,24/02/2023,26500,26200,26300,26500,6800,26500
64,27/02/2023,26300,25300,26300,25300,667,25300
65,28/02/2023,26900,23000,25000,26000,2900,26000
66,01/03/2023,25900,25900,25900,25900,103,25900
67,02/03/2023,26000,25000,25900,26000,700,26000
68,03/03/2023,25800,25500,25800,25800,700,25800
69,06/03/2023,25800,25600,25600,25600,900,25600
70,07/03/2023,24300,24300,24300,24300,100,24300
71,08/03/2023,25100,25100,25100,25100,267,25100
72,09/03/2023,25600,25500,25500,25500,1400,25500
73,10/03/2023,25500,25500,25500,25500,-,25500
74,13/03/2023,26000,25500,25500,26000,810,26000
75,14/03/2023,25900,25900,25900,26000,1,25900
76,15/03/2023,25900,25900,25900,25900,300,25900
77,16/03/2023,25900,25800,25800,25900,1100,25900
78,17/03/2023,25900,25900,25900,25900,-,25900
79,20/03/2023,25800,25800,25800,25800,100,25800
80,21/03/2023,25800,22100,22100,24100,2800,24100
81,22/03/2023,25000,24100,25000,24100,1300,24100
82,23/03/2023,25000,24400,25000,24400,400,24400
83,24/03/2023,24000,23600,23600,23600,4700,23600
84,27/03/2023,27300,23700,23700,27300,7500,27300
85,28/03/2023,28200,26000,26000,28200,14100,28200
86,29/03/2023,29800,28200,28200,28500,6600,28500
87,30/03/2023,29600,27100,27100,29600,10200,29600
88,31/03/2023,29800,28600,28600,29000,12004,29000
89,03/04/2023,28700,27000,27000,28700,3200,28700
90,04/04/2023,31200,29000,29000,29000,457800,29000
91,05/04/2023,29100,29000,29000,29000,3306,29000
92,06/04/2023,29700,27100,28000,29400,21100,29400
93,07/04/2023,29100,29100,29100,29100,-,29100
94,10/04/2023,29100,28000,29100,28000,7300,28000
95,11/04/2023,28900,26500,28000,28900,9000,28900
96,12/04/2023,29900,26700,29900,28000,7900,28000
97,13/04/2023,28900,27000,28900,27000,8802,27000
98,14/04/2023,27800,26600,27800,27800,5800,27800
99,17/04/2023,29400,26000,29400,27500,9500,27500
100,18/04/2023,29900,26600,29900,26600,5600,26600
101,19/04/2023,29800,27000,29800,28000,9306,28000
102,20/04/2023,28200,27700,28200,27700,810,27700
103,21/04/2023,28200,26400,27500,27900,5600,27900
104,24/04/2023,27500,26700,27500,26700,1800,26700
105,25/04/2023,28600,26900,26900,27100,22107,27100
106,26/04/2023,27900,27900,27900,27900,600,27900
107,27/04/2023,28000,26600,27900,27500,4308,27500
108,28/04/2023,27300,26200,27000,27000,3900,27000
109,04/05/2023,27000,26900,27000,27000,530,27000
110,05/05/2023,24600,24500,24600,24500,300,24500
111,08/05/2023,27400,25600,27000,26000,1508,26000
112,09/05/2023,26200,25800,26000,25800,6800,25800
113,10/05/2023,26100,25600,26000,25800,12418,25800
114,11/05/2023,26000,25500,26000,26000,18013,26000
115,12/05/2023,26000,25700,25700,26000,8853,26000
116,15/05/2023,27200,25600,27200,25600,5814,25600
117,16/05/2023,26900,25500,25700,26900,8600,26900
118,17/05/2023,26000,25500,25600,25700,16400,25700
119,18/05/2023,25800,25000,25600,25000,28307,25000
120,19/05/2023,25100,24900,25100,25000,10705,25000
121,22/05/2023,25000,24900,25000,24900,15900,24900
122,23/05/2023,25000,24700,25000,24700,9011,24700
123,24/05/2023,25000,24700,25000,24700,6000,24700
124,25/05/2023,24800,24500,24800,24700,7307,24700
125,26/05/2023,25000,24600,25000,24600,6606,24600
126,29/05/2023,24900,24700,24900,24800,5010,24800
127,30/05/2023,24800,24500,24700,24500,58300,24500
128,31/05/2023,25700,25000,25700,25200,5800,25200
129,01/06/2023,27000,24900,26800,25300,10000,25300
