,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1900,1800,1800,1900,6500,1900
1,22/11/2022,1900,1800,1900,1900,32410,1900
2,23/11/2022,2000,1700,2000,1800,15500,1800
3,24/11/2022,1900,1700,1800,1900,6200,1900
4,25/11/2022,2000,1800,1900,1900,9129,1900
5,28/11/2022,2000,1900,2000,2000,46467,2000
6,29/11/2022,2300,2200,2300,2300,103200,2300
7,30/11/2022,2600,2300,2600,2600,141610,2600
8,01/12/2022,2900,2700,2800,2900,192286,2900
9,02/12/2022,3100,2500,3000,3000,63300,3000
10,05/12/2022,2900,2500,2900,2600,161620,2600
11,06/12/2022,2900,2700,2800,2800,210728,2800
12,07/12/2022,3100,2500,3100,2500,49800,2500
13,08/12/2022,2700,2500,2700,2500,22900,2500
14,09/12/2022,2700,2400,2700,2500,61508,2500
15,12/12/2022,2600,2400,2600,2500,35608,2500
16,13/12/2022,2600,2200,2600,2400,40900,2400
17,14/12/2022,2600,2300,2500,2400,36550,2400
18,15/12/2022,2500,2400,2400,2400,26400,2400
19,16/12/2022,2400,2300,2400,2300,14800,2300
20,19/12/2022,2600,2400,2400,2600,82914,2600
21,20/12/2022,2700,2400,2600,2500,17000,2500
22,21/12/2022,2600,2200,2200,2200,71100,2200
23,22/12/2022,2300,2100,2300,2300,11250,2300
24,23/12/2022,2300,2100,2200,2200,8436,2200
25,26/12/2022,2300,2100,2300,2200,5800,2200
26,27/12/2022,2200,2000,2200,2200,6600,2200
27,28/12/2022,2300,2100,2200,2300,7500,2300
28,29/12/2022,2300,2200,2300,2200,2700,2200
29,30/12/2022,2300,2100,2300,2300,9100,2300
30,03/01/2023,2300,2200,2300,2200,8800,2200
31,04/01/2023,2300,2100,2200,2300,4800,2300
32,05/01/2023,2300,2100,2200,2200,2500,2200
33,06/01/2023,2300,2100,2200,2100,22200,2100
34,09/01/2023,2500,2100,2100,2500,147119,2500
35,10/01/2023,2700,2400,2600,2600,48800,2600
36,11/01/2023,2500,2500,2500,2500,55100,2500
37,12/01/2023,2600,2300,2400,2300,27700,2300
