,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,11000,9700,11000,9800,3700,9800
1,22/11/2022,10300,9900,10300,10000,1600,10000
2,23/11/2022,10000,10000,10000,10000,100,10000
3,24/11/2022,9700,8800,9700,8800,5100,8800
4,25/11/2022,9700,7800,9700,8900,2001,8900
5,28/11/2022,9800,8900,9600,9700,14702,9700
6,29/11/2022,10000,9200,10000,9800,3110,9800
7,30/11/2022,10200,9300,10200,10000,23500,10000
8,01/12/2022,11200,9900,10400,9900,6506,9900
9,02/12/2022,10400,9800,10400,10400,7800,10400
10,05/12/2022,11100,10100,11100,10500,19200,10500
11,06/12/2022,10900,10300,10800,10700,22300,10700
12,07/12/2022,12300,10700,10700,11700,82500,11700
13,08/12/2022,12600,11700,12400,11700,3300,11700
14,09/12/2022,14200,12300,14200,12300,2300,12300
15,12/12/2022,12600,10800,12000,11300,29700,11300
16,13/12/2022,12800,9600,12800,10500,37900,10500
17,14/12/2022,11000,9900,11000,10000,2000,10000
18,15/12/2022,10700,9600,9600,10000,10200,10000
19,16/12/2022,11000,9300,10300,10500,20300,10500
20,19/12/2022,11300,10000,11300,10000,9400,10000
21,20/12/2022,9800,9200,9700,9600,12800,9600
22,21/12/2022,11000,9500,10500,9500,5300,9500
23,22/12/2022,10600,9800,10600,10000,900,10000
24,23/12/2022,10900,9900,10800,10000,8100,10000
25,26/12/2022,10400,10000,10400,10000,900,10000
26,27/12/2022,10000,10000,10000,10000,300,10000
27,28/12/2022,10000,9600,10000,10000,1200,10000
28,29/12/2022,11100,10000,10000,10000,2700,10000
29,30/12/2022,10000,9500,9900,9600,7300,9600
30,03/01/2023,10400,10000,10300,10000,11000,10000
31,04/01/2023,10200,10000,10000,10100,5800,10100
32,05/01/2023,10200,10000,10200,10200,10300,10200
33,06/01/2023,10400,9900,10200,9900,7500,9900
34,09/01/2023,10400,9800,10300,10000,4800,10000
35,10/01/2023,10200,9900,10200,9900,1100,9900
36,11/01/2023,11100,9800,9800,10900,45100,10900
37,12/01/2023,11200,10400,11200,10600,4100,10600
38,13/01/2023,11000,10400,10900,10400,3600,10400
39,16/01/2023,11000,10100,10600,10500,5800,10500
40,17/01/2023,10800,10100,10600,10700,900,10700
41,18/01/2023,11700,10500,11700,10800,1800,10800
42,19/01/2023,11000,10400,10900,11000,12100,11000
43,27/01/2023,11800,10000,11800,10200,8100,10200
44,30/01/2023,10800,10400,10800,10400,2900,10400
45,31/01/2023,11100,10100,11100,10600,4800,10600
46,01/02/2023,10800,10100,10700,10300,16500,10300
47,02/02/2023,10300,10200,10300,10200,500,10200
48,03/02/2023,10200,10000,10200,10000,2600,10000
49,06/02/2023,10700,9600,10400,10200,6300,10200
50,07/02/2023,10700,10000,10700,10000,2600,10000
51,08/02/2023,11300,10500,10500,10500,4500,10500
52,09/02/2023,10900,10400,10900,10400,8700,10400
53,10/02/2023,11000,10500,10700,10500,18500,10500
54,13/02/2023,11700,10300,11000,10300,6100,10300
55,14/02/2023,10700,10700,10700,10700,100,10700
56,15/02/2023,10400,10300,10300,10300,7700,10300
57,16/02/2023,11600,10400,10800,10400,2900,10400
58,17/02/2023,10700,10500,10700,10500,1400,10500
59,20/02/2023,10800,10300,10800,10500,10300,10500
60,21/02/2023,11000,10600,10900,10900,45300,10900
61,22/02/2023,12000,10800,11000,11000,56100,11000
62,23/02/2023,12000,10900,12000,11200,17900,11200
63,24/02/2023,11200,10800,11200,10900,4300,10900
64,27/02/2023,11500,10700,11500,11100,28201,11100
65,28/02/2023,11500,11200,11200,11400,300,11400
66,01/03/2023,11800,10800,11800,11200,7500,11200
67,02/03/2023,11500,10900,11500,11400,4800,11400
68,03/03/2023,11600,11000,11600,11100,10600,11100
69,06/03/2023,11700,11400,11700,11700,29500,11700
70,07/03/2023,11900,11300,11900,11400,4800,11400
71,08/03/2023,11800,11400,11400,11800,5301,11800
72,09/03/2023,11800,11400,11800,11500,2500,11500
73,10/03/2023,11800,11800,11800,11800,100,11800
74,13/03/2023,12200,11200,11900,11200,4800,11200
75,14/03/2023,11700,10800,11700,11500,17300,11500
76,15/03/2023,11700,10800,11700,10800,39100,10800
77,16/03/2023,10700,10600,10700,10700,12900,10700
78,17/03/2023,11800,10600,11800,10600,10400,10600
79,20/03/2023,11600,10700,11000,10700,9900,10700
80,21/03/2023,11200,11200,11200,11200,300,11200
81,22/03/2023,11800,11800,11800,11800,100,11800
82,23/03/2023,11200,10800,10800,11200,700,11200
83,24/03/2023,11100,10700,11100,10700,1000,10700
84,27/03/2023,11300,10800,11300,10800,600,10800
85,28/03/2023,10900,10600,10900,10800,900,10800
86,29/03/2023,10900,10300,10300,10900,1500,10900
87,30/03/2023,11000,11000,11000,11000,600,11000
