,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23000,23000,23000,23000,-,20100
1,22/11/2022,23000,23000,23000,23000,-,20100
2,23/11/2022,23000,23000,23000,23000,-,20100
3,24/11/2022,23000,23000,23000,23000,-,20100
4,25/11/2022,23000,23000,23000,23000,-,20100
5,28/11/2022,23000,23000,23000,23000,-,20100
6,29/11/2022,23000,23000,23000,23000,-,20100
7,30/11/2022,23000,23000,23000,23000,-,20100
8,01/12/2022,23000,23000,23000,23000,-,20100
9,02/12/2022,23000,23000,23000,23000,-,20100
10,05/12/2022,23000,23000,23000,23000,-,20100
11,06/12/2022,23000,23000,23000,23000,-,20100
12,07/12/2022,23000,23000,23000,23000,-,20100
13,08/12/2022,23000,23000,23000,23000,-,20100
14,09/12/2022,23000,23000,23000,23000,-,20100
15,12/12/2022,23000,23000,23000,23000,-,20100
16,13/12/2022,23000,23000,23000,23000,-,20100
17,14/12/2022,23000,23000,23000,23000,-,20100
18,15/12/2022,23000,23000,23000,23000,-,20100
19,16/12/2022,23000,23000,23000,23000,-,20100
20,19/12/2022,23000,23000,23000,23000,-,20100
21,20/12/2022,23000,23000,23000,23000,-,20100
22,21/12/2022,23000,23000,23000,23000,-,20100
23,22/12/2022,23000,23000,23000,23000,-,20100
24,23/12/2022,23000,23000,23000,23000,-,20100
25,26/12/2022,23000,23000,23000,23000,-,20100
26,27/12/2022,23000,23000,23000,23000,-,20100
27,28/12/2022,23000,23000,23000,23000,-,20100
28,29/12/2022,23000,23000,23000,23000,-,20100
29,30/12/2022,23000,23000,23000,23000,-,20100
30,03/01/2023,23000,23000,23000,23000,-,20100
31,04/01/2023,23000,23000,23000,23000,-,20100
32,05/01/2023,23000,23000,23000,23000,-,20100
33,06/01/2023,23000,23000,23000,23000,-,20100
34,09/01/2023,23000,23000,23000,23000,-,20100
35,10/01/2023,23000,23000,23000,23000,-,20100
36,11/01/2023,23000,23000,23000,23000,-,20100
37,12/01/2023,23000,23000,23000,23000,-,20100
38,13/01/2023,23000,23000,23000,23000,-,20100
39,16/01/2023,23000,23000,23000,23000,-,20100
40,17/01/2023,23000,23000,23000,23000,-,20100
41,18/01/2023,23000,23000,23000,23000,-,20100
42,19/01/2023,23000,23000,23000,23000,-,20100
43,27/01/2023,23000,23000,23000,23000,-,20100
44,30/01/2023,23000,23000,23000,23000,-,20100
45,31/01/2023,23000,23000,23000,23000,-,20100
46,01/02/2023,23000,23000,23000,23000,-,20100
47,02/02/2023,23000,23000,23000,23000,-,20100
48,03/02/2023,23000,23000,23000,23000,-,20100
49,06/02/2023,23000,23000,23000,23000,-,20100
50,07/02/2023,23000,23000,23000,23000,-,20100
51,08/02/2023,23000,23000,23000,23000,-,20100
52,09/02/2023,23000,23000,23000,23000,-,20100
53,10/02/2023,23000,23000,23000,23000,-,20100
54,13/02/2023,23000,23000,23000,23000,-,20100
55,14/02/2023,23000,23000,23000,23000,-,20100
56,15/02/2023,23000,23000,23000,23000,-,20100
57,16/02/2023,23000,23000,23000,23000,-,20100
58,17/02/2023,23000,23000,23000,23000,-,20100
59,20/02/2023,23000,23000,23000,23000,-,20100
60,21/02/2023,23000,23000,23000,23000,-,20100
61,22/02/2023,23000,23000,23000,23000,-,20100
62,23/02/2023,23000,23000,23000,23000,-,20100
63,24/02/2023,23000,23000,23000,23000,-,20100
64,27/02/2023,23000,23000,23000,23000,-,20100
65,28/02/2023,23000,23000,23000,23000,-,20100
66,01/03/2023,23000,23000,23000,23000,-,20100
67,02/03/2023,23000,23000,23000,23000,-,20100
68,03/03/2023,23000,23000,23000,23000,-,20100
69,06/03/2023,23000,23000,23000,23000,-,20100
70,07/03/2023,23000,23000,23000,23000,-,20100
71,08/03/2023,23000,23000,23000,23000,-,20100
72,09/03/2023,23000,23000,23000,23000,-,20100
73,10/03/2023,23000,23000,23000,23000,-,20100
74,13/03/2023,23000,23000,23000,23000,-,20100
75,14/03/2023,23000,23000,23000,23000,-,20100
76,15/03/2023,23000,23000,23000,23000,-,20100
77,16/03/2023,23000,23000,23000,23000,-,20100
78,17/03/2023,23000,23000,23000,23000,-,20100
79,20/03/2023,23000,23000,23000,23000,-,20100
80,21/03/2023,23000,23000,23000,23000,-,20100
81,22/03/2023,23000,23000,23000,23000,-,20100
82,23/03/2023,23000,23000,23000,23000,-,20100
83,24/03/2023,23000,23000,23000,23000,-,20100
84,27/03/2023,23000,23000,23000,23000,-,20100
85,28/03/2023,23000,23000,23000,23000,-,20100
86,29/03/2023,23000,23000,23000,23000,-,20100
87,30/03/2023,23000,23000,23000,23000,-,20100
88,31/03/2023,28900,28900,28900,28900,100,25200
89,03/04/2023,28900,28900,28900,28900,29,25200
90,04/04/2023,28900,28900,28900,28900,-,25200
91,05/04/2023,28900,28900,28900,28900,-,25200
92,06/04/2023,28900,28900,28900,28900,12,25200
93,07/04/2023,28900,28900,28900,28900,-,25200
94,10/04/2023,28900,28900,28900,28900,-,25200
95,11/04/2023,28900,28900,28900,28900,-,25200
96,12/04/2023,28900,28900,28900,28900,-,25200
97,13/04/2023,28900,28900,28900,28900,-,25200
98,14/04/2023,28900,28900,28900,28900,-,25200
99,17/04/2023,28900,28900,28900,28900,-,25200
100,18/04/2023,28900,28900,28900,28900,-,25200
101,19/04/2023,28900,28900,28900,28900,-,25200
102,20/04/2023,28900,28900,28900,28900,2,25200
103,21/04/2023,28900,28900,28900,28900,-,25200
104,24/04/2023,28900,28900,28900,28900,-,25200
105,25/04/2023,24600,24600,24600,24600,100,21500
106,26/04/2023,24600,24600,24600,24600,-,21500
107,27/04/2023,24600,24600,24600,24600,-,21500
108,28/04/2023,24600,24600,24600,24600,-,21500
109,04/05/2023,24600,24600,24600,24600,-,21500
110,05/05/2023,24600,24600,24600,24600,-,21500
111,08/05/2023,24600,24600,24600,24600,1,21500
112,09/05/2023,24600,24600,24600,24600,10,21500
113,10/05/2023,24600,24600,24600,24600,-,21500
114,11/05/2023,24600,24600,24600,24600,-,21500
115,12/05/2023,24600,24600,24600,24600,-,21500
116,15/05/2023,24600,24600,24600,24600,-,21500
117,16/05/2023,24600,24600,24600,24600,-,21500
118,17/05/2023,24600,24600,24600,24600,-,21500
119,18/05/2023,24600,24600,24600,24600,-,21500
120,19/05/2023,24600,24600,24600,24600,-,21500
121,22/05/2023,24600,24600,24600,24600,-,21500
122,23/05/2023,24600,24600,24600,24600,-,21500
123,24/05/2023,24600,24600,24600,24600,-,21500
124,25/05/2023,24600,24600,24600,24600,-,21500
125,26/05/2023,24600,24600,24600,24600,-,21500
