,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7700,7000,7000,7700,1200,7500
1,22/11/2022,7400,6600,7400,6600,15200,6400
2,23/11/2022,7400,7400,7400,7400,500,7200
3,24/11/2022,7200,6300,6300,7200,2200,7000
4,25/11/2022,7300,6700,6900,7300,1100,7100
5,28/11/2022,7200,6300,6300,7200,7100,7000
6,29/11/2022,7700,7100,7100,7100,4800,6900
7,30/11/2022,7200,6900,7200,7100,13400,6900
8,01/12/2022,7500,6900,7500,6900,9200,6700
9,02/12/2022,7300,6900,7000,7000,9000,6800
10,05/12/2022,7000,6700,6900,6800,35400,6600
11,06/12/2022,6800,6400,6400,6800,800,6600
12,07/12/2022,6700,6500,6700,6500,9300,6300
13,08/12/2022,6500,6400,6500,6400,12400,6200
14,09/12/2022,6500,6500,6500,6500,500,6300
15,12/12/2022,6800,6600,6600,6700,6100,6500
16,13/12/2022,7000,7000,7000,7000,100,6800
17,14/12/2022,6700,6600,6700,6600,900,6400
18,15/12/2022,7700,6800,7700,6800,1200,6600
19,16/12/2022,6900,6600,6900,6600,1500,6400
20,19/12/2022,6800,6500,6500,6800,800,6600
21,20/12/2022,6500,5900,6500,6100,23000,6000
22,21/12/2022,6200,5600,6100,6100,8600,6000
23,22/12/2022,6300,5800,6300,6200,13800,6000
24,23/12/2022,5900,5900,5900,5900,4700,5800
25,26/12/2022,5900,5500,5900,5500,6000,5400
26,27/12/2022,6000,5600,5600,6000,2700,5900
27,28/12/2022,5800,5800,5800,5800,100,5700
28,29/12/2022,6600,5900,6600,6000,4600,5900
29,30/12/2022,6300,6000,6200,6000,800,5900
30,03/01/2023,6500,6100,6500,6500,500,6300
31,04/01/2023,6900,6200,6900,6400,1800,6200
32,05/01/2023,6800,6400,6800,6400,9900,6200
33,06/01/2023,6900,6000,6900,6300,5800,6100
34,09/01/2023,6500,6000,6500,6400,4776,6200
35,10/01/2023,6400,6000,6400,6400,1518,6200
36,11/01/2023,6300,5900,6300,6100,3500,6000
37,12/01/2023,6100,5800,5900,6100,1500,6000
38,13/01/2023,6100,6000,6100,6100,7400,6000
39,16/01/2023,6000,5900,5900,5900,3800,5800
40,17/01/2023,6000,5900,6000,5900,8600,5800
41,18/01/2023,6100,5900,5900,6100,5105,6000
42,19/01/2023,6000,6000,6000,6000,5000,5900
43,27/01/2023,6200,6000,6000,6100,9500,6000
44,30/01/2023,6300,6100,6100,6300,6000,6100
45,31/01/2023,6100,6100,6100,6100,5600,6000
46,01/02/2023,6300,6000,6300,6000,20900,5900
47,02/02/2023,6100,6100,6100,6100,1000,6000
48,03/02/2023,5900,5700,5700,5900,600,5800
49,06/02/2023,6100,6000,6100,6000,3600,5900
50,07/02/2023,6000,5900,5900,6000,1900,5900
51,08/02/2023,6000,6000,6000,6000,-,5900
52,09/02/2023,6000,6000,6000,6000,-,5900
53,10/02/2023,6000,6000,6000,6000,400,5900
54,13/02/2023,5900,5900,5900,5900,1200,5800
55,14/02/2023,5900,5700,5900,5700,2500,5600
56,15/02/2023,5900,5500,5900,5700,12000,5600
57,16/02/2023,6500,5900,5900,6500,33500,6300
58,17/02/2023,7200,6400,7200,7200,47300,7000
59,20/02/2023,7500,6300,7000,6500,23100,6300
60,21/02/2023,7000,6100,6100,6400,16600,6200
