,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,26000,26000,26000,26000,100,25400
1,22/11/2022,26000,26000,26000,26000,-,25400
2,23/11/2022,26000,26000,26000,26000,100,25400
3,24/11/2022,26000,26000,26000,26000,-,25400
4,25/11/2022,26000,26000,26000,26000,-,25400
5,28/11/2022,26000,26000,26000,26000,-,25400
6,29/11/2022,26000,26000,26000,26000,-,25400
7,30/11/2022,26200,26200,26200,26200,100,25600
8,01/12/2022,26000,26000,26000,26000,600,25400
9,02/12/2022,27000,27000,27000,27000,308,26400
10,05/12/2022,30000,27800,30000,27800,700,27200
11,06/12/2022,33000,25000,33000,26000,4910,25400
12,07/12/2022,28000,28000,28000,28000,-,27400
13,08/12/2022,30000,28000,28000,28400,2502,27800
14,09/12/2022,31000,25000,30500,25000,1500,24400
15,12/12/2022,30900,29800,29800,30900,2000,30200
16,13/12/2022,29000,28900,28900,29000,1400,28300
17,14/12/2022,28000,25000,28000,25000,2400,24400
18,15/12/2022,28000,23500,24100,28000,1500,27400
19,16/12/2022,24200,24200,24200,28000,11,23700
20,19/12/2022,27400,24000,27400,24000,2000,23500
21,20/12/2022,24400,24400,24400,24400,-,23900
22,21/12/2022,24400,24400,24400,24400,-,23900
23,22/12/2022,24400,24400,24400,24400,-,23900
24,23/12/2022,22000,22000,22000,22000,900,21500
25,26/12/2022,22000,22000,22000,22000,-,21500
26,27/12/2022,22000,22000,22000,22000,-,21500
27,28/12/2022,22100,21600,22100,21600,800,21100
28,29/12/2022,23000,23000,23000,23000,100,22500
29,30/12/2022,23000,23000,23000,23000,-,22500
30,03/01/2023,25900,23500,23500,25900,1000,25300
31,04/01/2023,24100,23100,23200,24100,700,23600
32,05/01/2023,23600,23600,23600,23600,700,23100
33,06/01/2023,23600,23600,23600,23600,-,23100
34,09/01/2023,24000,24000,24000,24000,200,23500
35,10/01/2023,24000,24000,24000,24000,-,23500
36,11/01/2023,22600,22600,22600,22600,100,22100
37,12/01/2023,22600,22600,22600,22600,1400,22100
38,13/01/2023,22600,22600,22600,22600,100,22100
39,16/01/2023,25900,24900,24900,25900,1000,25300
40,17/01/2023,25000,25000,25000,25000,-,24400
41,18/01/2023,26000,24000,24000,25900,2800,25300
42,19/01/2023,25700,25700,25700,25900,4,25100
43,27/01/2023,25700,25700,25700,25700,-,25100
44,30/01/2023,25700,25700,25700,25700,-,25100
45,31/01/2023,22000,22000,22000,22000,1500,21500
46,01/02/2023,25000,25000,25000,25000,100,24400
47,02/02/2023,25000,25000,25000,25000,-,24400
48,03/02/2023,25000,25000,25000,25000,-,24400
49,06/02/2023,24500,24500,24500,24500,110,24000
50,07/02/2023,24500,23100,24500,23100,500,22600
51,08/02/2023,23600,23500,23600,23500,1000,23000
52,09/02/2023,24900,21900,24000,24900,2100,24300
53,10/02/2023,25000,25000,25000,25000,101,24400
54,13/02/2023,25000,25000,25000,25000,-,24400
55,14/02/2023,24700,24700,24700,24700,100,24100
56,15/02/2023,24700,24700,24700,24700,200,24100
57,16/02/2023,24700,24500,24700,24500,600,24000
58,17/02/2023,24500,24500,24500,24500,-,24000
59,20/02/2023,25000,25000,25000,25000,102,24400
60,21/02/2023,24900,24500,24900,24500,600,24000
61,22/02/2023,24800,24800,24800,24800,-,24200
62,23/02/2023,23000,23000,23000,23000,1100,22500
63,24/02/2023,23000,23000,23000,23000,-,22500
64,27/02/2023,23000,23000,23000,23000,500,22500
65,28/02/2023,23000,23000,23000,23000,-,22500
66,01/03/2023,23000,23000,23000,23000,-,22500
67,02/03/2023,23000,23000,23000,23000,100,22500
68,03/03/2023,23000,23000,23000,23000,500,22500
69,06/03/2023,23000,23000,23000,23000,-,22500
70,07/03/2023,23000,23000,23000,23000,-,22500
71,08/03/2023,23000,23000,23000,23000,200,22500
72,09/03/2023,23000,23000,23000,23000,-,22500
73,10/03/2023,23000,23000,23000,23000,-,22500
74,13/03/2023,23000,23000,23000,23000,-,22500
75,14/03/2023,26400,23000,26400,23000,300,22500
76,15/03/2023,24500,24500,24500,24500,800,24000
77,16/03/2023,24500,24500,24500,24500,-,24000
78,17/03/2023,24500,24500,24500,24500,-,24000
79,20/03/2023,24500,24500,24500,24500,-,24000
80,21/03/2023,24400,24400,24400,24400,100,23900
81,22/03/2023,23900,23900,23900,23900,110,23400
82,23/03/2023,23500,23000,23000,23500,910,23000
83,24/03/2023,23200,23200,23200,23200,-,22700
84,27/03/2023,24000,24000,24000,24000,200,23500
85,28/03/2023,24000,24000,24000,24000,128000,23500
86,29/03/2023,24000,24000,24000,24000,-,23500
87,30/03/2023,24000,24000,24000,24000,-,23500
88,31/03/2023,24000,24000,24000,24000,-,23500
89,03/04/2023,25000,25000,25000,25000,302,24400
90,04/04/2023,24900,24900,24900,24900,100,24300
91,05/04/2023,24900,24900,24900,24900,-,24300
92,06/04/2023,22000,21500,22000,21500,14500,21000
93,07/04/2023,24500,21700,24500,22000,900,21500
94,10/04/2023,23000,22200,23000,22200,900,21700
95,11/04/2023,23600,23600,23600,23600,100,23100
96,12/04/2023,23600,23600,23600,23600,-,23100
97,13/04/2023,23900,23900,23900,23900,202,23400
98,14/04/2023,23900,23900,23900,23900,100,23400
99,17/04/2023,23900,23900,23900,23900,-,23400
100,18/04/2023,23900,23900,23900,23900,-,23400
101,19/04/2023,23900,23900,23900,23900,-,23400
102,20/04/2023,23900,23900,23900,23900,-,23400
103,21/04/2023,23900,23900,23900,23900,300,23400
104,24/04/2023,23900,23900,23900,23900,-,23400
105,25/04/2023,23900,23900,23900,23900,-,23400
106,26/04/2023,23900,23900,23900,23900,600,23400
107,27/04/2023,23900,23900,23900,23900,-,23400
108,28/04/2023,23900,23900,23900,23900,-,23400
109,04/05/2023,23900,23900,23900,23900,-,23400
110,05/05/2023,20500,20500,20500,20500,100,20000
111,08/05/2023,20500,20500,20500,20500,-,20000
112,09/05/2023,20500,20500,20500,20500,-,20000
113,10/05/2023,21000,21000,21000,21000,900,20500
114,11/05/2023,21000,21000,21000,21000,-,20500
115,12/05/2023,21000,21000,21000,21000,-,20500
116,15/05/2023,21000,21000,21000,21000,2,20500
117,16/05/2023,21200,21000,21100,21200,4208,20700
118,17/05/2023,21000,21000,21000,21000,-,20500
119,18/05/2023,21000,21000,21000,21000,-,20500
120,19/05/2023,24000,21000,21000,24000,600,23500
121,22/05/2023,21600,21500,21600,21600,700,21100
122,23/05/2023,21600,21600,21600,21600,-,21100
123,24/05/2023,21600,21600,21600,21600,-,21100
124,25/05/2023,21600,21600,21600,21600,-,21100
125,26/05/2023,21600,21600,21600,21600,-,21100
126,29/05/2023,21600,21600,21600,21600,-,21100
127,30/05/2023,21600,21600,21600,21600,200,21100
128,31/05/2023,22000,22000,22000,22000,100,21500
129,01/06/2023,23900,20000,20000,22800,900,22300
130,02/06/2023,22000,22000,22000,22000,2200,21500
131,05/06/2023,22000,22000,22000,22000,-,21500
132,06/06/2023,22000,22000,22000,22000,-,21500
133,07/06/2023,22000,22000,22000,22000,-,21500
134,08/06/2023,22600,22000,22000,22600,1000,22100
135,09/06/2023,22200,22200,22200,22200,500,21700
136,12/06/2023,22000,22000,22000,22000,100,21500
137,13/06/2023,22000,22000,22000,22000,2600,21500
138,14/06/2023,22000,22000,22000,22000,-,21500
139,15/06/2023,21000,19100,19100,21000,1200,20500
140,16/06/2023,21000,20000,20000,21000,1710,20500
141,19/06/2023,21000,20900,20900,21000,3500,20500
142,20/06/2023,21000,20000,20900,20000,3100,19600
143,21/06/2023,21000,20900,21000,20900,600,20400
144,22/06/2023,21000,21000,21000,21000,-,20500
145,23/06/2023,20900,20000,20900,20000,1200,19600
146,26/06/2023,20100,20100,20100,20100,2500,19600
147,27/06/2023,21500,19500,20100,19500,4400,19100
148,28/06/2023,20000,20000,20000,20000,1500,19600
149,29/06/2023,20000,20000,20000,20000,200,19600
150,30/06/2023,20500,20500,20500,20500,100,20000
151,03/07/2023,20900,19900,20900,20000,12500,19600
152,04/07/2023,20000,19900,20000,20000,10400,19600
153,05/07/2023,20000,20000,20000,20000,26600,19600
154,06/07/2023,22000,19700,20000,20000,6900,19600
155,07/07/2023,20000,19700,20000,19900,1900,19500
156,10/07/2023,20000,19700,19900,20000,7300,19600
157,11/07/2023,20000,19800,19800,20000,500,19600
158,12/07/2023,21000,19500,20000,21000,14506,20500
159,13/07/2023,20500,19500,19500,20500,6400,20000
160,14/07/2023,21500,19800,21500,20000,1300,19600
161,17/07/2023,20500,20000,20000,20500,800,20000
162,18/07/2023,20500,20000,20500,20000,6200,19600
163,19/07/2023,20400,19800,20000,20400,1100,19900
164,20/07/2023,20600,19900,20600,20400,2200,19900
165,21/07/2023,21000,20500,20700,21000,1720,20500
166,24/07/2023,21000,20400,21000,20700,4100,20200
167,25/07/2023,20800,20000,20200,20700,4700,20200
168,26/07/2023,20900,19800,20200,20500,2501,20000
169,27/07/2023,20900,19600,20000,20900,7100,20400
170,28/07/2023,20100,20100,20100,20100,200,19600
171,31/07/2023,20400,19500,19700,20300,18000,19800
172,01/08/2023,20200,19600,19600,20200,2200,19700
173,02/08/2023,20600,19900,19900,20600,22400,20100
174,03/08/2023,20800,20500,20800,20500,300,20000
175,04/08/2023,20300,19800,19800,20300,500,19800
176,07/08/2023,20300,20200,20200,20300,7200,19800
177,08/08/2023,20300,20300,20300,20300,100,19800
178,09/08/2023,23000,20500,20800,21500,18800,21000
179,10/08/2023,22100,20900,20900,22100,14400,21600
180,11/08/2023,22000,21900,21900,22000,15000,21500
181,14/08/2023,22000,20800,22000,21900,600,21400
182,15/08/2023,20900,20900,20900,20900,100,20400
183,16/08/2023,22000,20900,22000,20900,3800,20400
184,17/08/2023,22000,21900,21900,22000,901,21500
185,18/08/2023,21900,20200,20500,21900,1000,21400
186,21/08/2023,21500,21000,21000,21500,13300,21000
187,22/08/2023,21700,21000,21000,21700,803,21200
