,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15300,15300,15300,15300,-,15300
1,22/11/2022,15300,15300,15300,15300,-,15300
2,23/11/2022,15300,15300,15300,15300,-,15300
3,24/11/2022,15300,15300,15300,15300,-,15300
4,25/11/2022,15300,15300,15300,15300,-,15300
5,28/11/2022,15300,15300,15300,15300,-,15300
6,29/11/2022,15300,15300,15300,15300,-,15300
7,30/11/2022,15300,15300,15300,15300,-,15300
8,01/12/2022,15300,15300,15300,15300,-,15300
9,02/12/2022,15300,15300,15300,15300,-,15300
10,05/12/2022,15300,15300,15300,15300,-,15300
11,06/12/2022,15300,15300,15300,15300,-,15300
12,07/12/2022,15300,15300,15300,15300,-,15300
13,08/12/2022,15300,15300,15300,15300,-,15300
14,09/12/2022,15300,15300,15300,15300,-,15300
15,12/12/2022,15300,15300,15300,15300,-,15300
16,13/12/2022,15300,15300,15300,15300,-,15300
17,14/12/2022,15300,15300,15300,15300,-,15300
18,15/12/2022,15300,15300,15300,15300,-,15300
19,16/12/2022,15300,15300,15300,15300,-,15300
20,19/12/2022,15300,15300,15300,15300,-,15300
21,20/12/2022,15300,15300,15300,15300,-,15300
22,21/12/2022,15300,15300,15300,15300,-,15300
23,22/12/2022,15300,15300,15300,15300,-,15300
24,23/12/2022,15300,15300,15300,15300,-,15300
25,26/12/2022,15300,15300,15300,15300,-,15300
26,27/12/2022,15300,15300,15300,15300,-,15300
27,28/12/2022,15300,15300,15300,15300,-,15300
28,29/12/2022,15300,15300,15300,15300,-,15300
29,30/12/2022,15300,15300,15300,15300,-,15300
30,03/01/2023,15300,15300,15300,15300,-,15300
31,04/01/2023,15300,15300,15300,15300,-,15300
32,05/01/2023,15300,15300,15300,15300,-,15300
33,06/01/2023,15300,15300,15300,15300,-,15300
34,09/01/2023,15300,15300,15300,15300,-,15300
35,10/01/2023,15300,15300,15300,15300,-,15300
36,11/01/2023,15300,15300,15300,15300,-,15300
37,12/01/2023,15300,15300,15300,15300,-,15300
38,13/01/2023,15300,15300,15300,15300,-,15300
39,16/01/2023,15300,15300,15300,15300,-,15300
40,17/01/2023,13800,13800,13800,13800,100,13800
41,18/01/2023,13800,13800,13800,13800,-,13800
42,19/01/2023,13800,13800,13800,13800,-,13800
43,27/01/2023,13800,13800,13800,13800,-,13800
44,30/01/2023,13800,13800,13800,13800,-,13800
45,31/01/2023,13800,13800,13800,13800,-,13800
46,01/02/2023,13800,13800,13800,13800,-,13800
47,02/02/2023,13800,13800,13800,13800,-,13800
48,03/02/2023,13800,13800,13800,13800,-,13800
49,06/02/2023,13800,13800,13800,13800,-,13800
50,07/02/2023,13800,13800,13800,13800,-,13800
51,08/02/2023,13800,13800,13800,13800,-,13800
52,09/02/2023,13800,13800,13800,13800,-,13800
53,10/02/2023,13800,13800,13800,13800,2,13800
54,13/02/2023,13800,13800,13800,13800,-,13800
55,14/02/2023,13800,13800,13800,13800,-,13800
56,15/02/2023,13800,13800,13800,13800,-,13800
57,16/02/2023,13800,13800,13800,13800,-,13800
58,17/02/2023,13800,13800,13800,13800,-,13800
59,20/02/2023,13800,13800,13800,13800,-,13800
60,21/02/2023,13800,13800,13800,13800,-,13800
61,22/02/2023,13800,13800,13800,13800,-,13800
62,23/02/2023,13800,13800,13800,13800,-,13800
63,24/02/2023,13800,13800,13800,13800,-,13800
64,27/02/2023,13800,13800,13800,13800,-,13800
65,28/02/2023,13800,13800,13800,13800,-,13800
66,01/03/2023,13800,13800,13800,13800,-,13800
67,02/03/2023,13800,13800,13800,13800,-,13800
68,03/03/2023,13800,13800,13800,13800,-,13800
69,06/03/2023,13800,13800,13800,13800,-,13800
70,07/03/2023,13800,13800,13800,13800,-,13800
71,08/03/2023,13800,13800,13800,13800,-,13800
72,09/03/2023,13800,13800,13800,13800,-,13800
73,10/03/2023,13800,13800,13800,13800,-,13800
