,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,29000,29000,29000,29000,-,29000
1,22/11/2022,29000,29000,29000,29000,-,29000
2,23/11/2022,24500,24500,24500,24500,200,24500
3,24/11/2022,24500,24500,24500,24500,-,24500
4,25/11/2022,24500,24500,24500,24500,-,24500
5,28/11/2022,24500,24500,24500,24500,40,24500
6,29/11/2022,24500,24500,24500,24500,-,24500
7,30/11/2022,24500,24500,24500,24500,-,24500
8,01/12/2022,24500,24500,24500,24500,-,24500
9,02/12/2022,24500,24500,24500,24500,-,24500
10,05/12/2022,24500,24500,24500,24500,-,24500
11,06/12/2022,24500,24500,24500,24500,-,24500
12,07/12/2022,24500,24500,24500,24500,-,24500
13,08/12/2022,24500,24500,24500,24500,-,24500
14,09/12/2022,24500,24500,24500,24500,-,24500
15,12/12/2022,24500,24500,24500,24500,-,24500
16,13/12/2022,24500,24500,24500,24500,-,24500
17,14/12/2022,24500,24500,24500,24500,-,24500
18,15/12/2022,24500,24500,24500,24500,-,24500
19,16/12/2022,24500,24500,24500,24500,-,24500
20,19/12/2022,24500,24500,24500,24500,-,24500
21,20/12/2022,24500,24500,24500,24500,-,24500
22,21/12/2022,24500,24500,24500,24500,-,24500
23,22/12/2022,24500,24500,24500,24500,-,24500
24,23/12/2022,24500,24500,24500,24500,-,24500
25,26/12/2022,24500,24500,24500,24500,-,24500
26,27/12/2022,24500,24500,24500,24500,-,24500
27,28/12/2022,24500,24500,24500,24500,-,24500
28,29/12/2022,24500,24500,24500,24500,-,24500
29,30/12/2022,24500,24500,24500,24500,-,24500
30,03/01/2023,24500,24500,24500,24500,-,24500
31,04/01/2023,24500,24500,24500,24500,-,24500
32,05/01/2023,24500,24500,24500,24500,-,24500
33,06/01/2023,24500,24500,24500,24500,-,24500
34,09/01/2023,24500,24500,24500,24500,-,24500
35,10/01/2023,28000,28000,28000,28000,100,28000
36,11/01/2023,28000,28000,28000,28000,-,28000
37,12/01/2023,28000,28000,28000,28000,-,28000
38,13/01/2023,28000,28000,28000,28000,-,28000
39,16/01/2023,28000,28000,28000,28000,-,28000
40,17/01/2023,28000,28000,28000,28000,-,28000
41,18/01/2023,28000,28000,28000,28000,-,28000
42,19/01/2023,28000,28000,28000,28000,-,28000
43,27/01/2023,32000,32000,32000,32000,200,32000
44,30/01/2023,32000,32000,32000,32000,-,32000
45,31/01/2023,32000,32000,32000,32000,-,32000
46,01/02/2023,32000,32000,32000,32000,-,32000
47,02/02/2023,32000,32000,32000,32000,-,32000
48,03/02/2023,32000,32000,32000,32000,-,32000
49,06/02/2023,32000,32000,32000,32000,-,32000
50,07/02/2023,32000,32000,32000,32000,-,32000
51,08/02/2023,32000,32000,32000,32000,-,32000
52,09/02/2023,32000,32000,32000,32000,-,32000
53,10/02/2023,32000,32000,32000,32000,-,32000
54,13/02/2023,32000,32000,32000,32000,-,32000
55,14/02/2023,32000,32000,32000,32000,-,32000
56,15/02/2023,32000,32000,32000,32000,-,32000
57,16/02/2023,32000,32000,32000,32000,-,32000
58,17/02/2023,32000,32000,32000,32000,-,32000
59,20/02/2023,32000,32000,32000,32000,1,32000
60,21/02/2023,32000,32000,32000,32000,-,32000
61,22/02/2023,32000,32000,32000,32000,-,32000
62,23/02/2023,32000,32000,32000,32000,-,32000
63,24/02/2023,32000,32000,32000,32000,-,32000
64,27/02/2023,32000,32000,32000,32000,-,32000
65,28/02/2023,32000,32000,32000,32000,-,32000
66,01/03/2023,32000,32000,32000,32000,-,32000
67,02/03/2023,32000,32000,32000,32000,-,32000
68,03/03/2023,32000,32000,32000,32000,-,32000
69,06/03/2023,32000,32000,32000,32000,-,32000
70,07/03/2023,32000,32000,32000,32000,-,32000
71,08/03/2023,32000,32000,32000,32000,-,32000
72,09/03/2023,32000,32000,32000,32000,-,32000
73,10/03/2023,32000,32000,32000,32000,-,32000
74,13/03/2023,32000,32000,32000,32000,-,32000
75,14/03/2023,32000,32000,32000,32000,-,32000
76,15/03/2023,32000,32000,32000,32000,-,32000
77,16/03/2023,32000,32000,32000,32000,-,32000
78,17/03/2023,32000,32000,32000,32000,-,32000
79,20/03/2023,32000,32000,32000,32000,-,32000
80,21/03/2023,32000,32000,32000,32000,-,32000
81,22/03/2023,32000,32000,32000,32000,-,32000
82,23/03/2023,32000,32000,32000,32000,-,32000
83,24/03/2023,32000,32000,32000,32000,-,32000
84,27/03/2023,32000,32000,32000,32000,-,32000
85,28/03/2023,32000,32000,32000,32000,-,32000
86,29/03/2023,32000,32000,32000,32000,-,32000
87,30/03/2023,32000,32000,32000,32000,-,32000
88,31/03/2023,32000,32000,32000,32000,-,32000
89,03/04/2023,32000,32000,32000,32000,-,32000
90,04/04/2023,32000,32000,32000,32000,-,32000
91,05/04/2023,32400,32400,32400,32400,100,32400
92,06/04/2023,32400,32400,32400,32400,-,32400
93,07/04/2023,32400,32400,32400,32400,-,32400
94,10/04/2023,32400,32400,32400,32400,52,32400
95,11/04/2023,32400,32400,32400,32400,-,32400
96,12/04/2023,32400,32400,32400,32400,-,32400
97,13/04/2023,32400,32400,32400,32400,-,32400
98,14/04/2023,32400,32400,32400,32400,-,32400
99,17/04/2023,32400,32400,32400,32400,-,32400
100,18/04/2023,32400,32400,32400,32400,-,32400
101,19/04/2023,32400,32400,32400,32400,-,32400
102,20/04/2023,32400,32400,32400,32400,-,32400
103,21/04/2023,32400,32400,32400,32400,-,32400
104,24/04/2023,32400,32400,32400,32400,-,32400
105,25/04/2023,32400,32400,32400,32400,-,32400
106,26/04/2023,34900,34900,34900,34900,100,34900
107,27/04/2023,34900,34900,34900,34900,-,34900
108,28/04/2023,34900,34900,34900,34900,-,34900
109,04/05/2023,34900,34900,34900,34900,1,34900
110,05/05/2023,34900,34900,34900,34900,-,34900
111,08/05/2023,34900,34900,34900,34900,-,34900
112,09/05/2023,34900,34900,34900,34900,-,34900
113,10/05/2023,34900,34900,34900,34900,-,34900
114,11/05/2023,34900,34900,34900,34900,-,34900
115,12/05/2023,34900,34900,34900,34900,-,34900
116,15/05/2023,34900,34900,34900,34900,-,34900
117,16/05/2023,34900,34900,34900,34900,-,34900
118,17/05/2023,34900,34900,34900,34900,-,34900
119,18/05/2023,34900,34900,34900,34900,-,34900
120,19/05/2023,34900,34900,34900,34900,-,34900
121,22/05/2023,34900,34900,34900,34900,-,34900
122,23/05/2023,34900,34900,34900,34900,-,34900
123,24/05/2023,34900,34900,34900,34900,-,34900
124,25/05/2023,34900,34900,34900,34900,-,34900
125,26/05/2023,34900,34900,34900,34900,-,34900
126,29/05/2023,34900,34900,34900,34900,-,34900
127,30/05/2023,34900,34900,34900,34900,-,34900
128,31/05/2023,34900,34900,34900,34900,-,34900
129,01/06/2023,34900,34900,34900,34900,-,34900
130,02/06/2023,34900,34900,34900,34900,-,34900
131,05/06/2023,34900,34900,34900,34900,-,34900
132,06/06/2023,34900,34900,34900,34900,-,34900
133,07/06/2023,34900,34900,34900,34900,-,34900
134,08/06/2023,28500,22400,22400,28500,1900,28500
135,09/06/2023,23700,23700,23700,23700,-,23700
136,12/06/2023,23700,23700,23700,23700,-,23700
137,13/06/2023,23700,23700,23700,23700,-,23700
138,14/06/2023,20200,20200,20200,20200,1000,20200
139,15/06/2023,20200,20200,20200,20200,-,20200
140,16/06/2023,20900,20800,20800,20900,535,20900
141,19/06/2023,20900,20900,20900,20900,-,20900
142,20/06/2023,20900,20900,20900,20900,-,20900
143,21/06/2023,20900,20900,20900,20900,-,20900
144,22/06/2023,20900,20900,20900,20900,-,20900
145,23/06/2023,20900,20900,20900,20900,-,20900
146,26/06/2023,20900,20900,20900,20900,-,20900
147,27/06/2023,20900,20900,20900,20900,34,20900
148,28/06/2023,20900,20900,20900,20900,-,20900
149,29/06/2023,20900,20900,20900,20900,-,20900
150,30/06/2023,20900,20900,20900,20900,-,20900
151,03/07/2023,20900,17800,17800,20900,3200,20900
152,04/07/2023,18400,18400,18400,18400,-,18400
153,05/07/2023,18400,18400,18400,18400,-,18400
154,06/07/2023,18400,18400,18400,18400,-,18400
155,07/07/2023,21000,15700,15700,21000,881,21000
156,10/07/2023,18800,14400,14400,18800,875,18800
157,11/07/2023,17200,13200,16100,17200,5805,17200
158,12/07/2023,16300,13100,13100,16300,1100,16300
159,13/07/2023,17800,17800,17800,17800,200,17800
160,14/07/2023,19100,19000,19000,19100,434,19100
161,17/07/2023,19000,19000,19000,19100,10,19000
162,18/07/2023,19000,19000,19000,19000,-,19000
163,19/07/2023,18900,16200,16200,18000,403,18000
164,20/07/2023,17800,17800,17800,17800,200,17800
165,21/07/2023,17800,17800,17800,17800,200,17800
166,24/07/2023,17800,17800,17800,17800,41,17800
