,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,30600,30600,30600,30600,-,30600
1,22/11/2022,30600,30600,30600,30600,-,30600
2,23/11/2022,30600,30600,30600,30600,-,30600
3,24/11/2022,30600,30600,30600,30600,-,30600
4,25/11/2022,30600,30600,30600,30600,-,30600
5,28/11/2022,30600,30600,30600,30600,-,30600
6,29/11/2022,30600,30600,30600,30600,-,30600
7,30/11/2022,30600,30600,30600,30600,-,30600
8,01/12/2022,30600,30600,30600,30600,-,30600
9,02/12/2022,30600,30600,30600,30600,-,30600
10,05/12/2022,30600,30600,30600,30600,-,30600
11,06/12/2022,30600,30600,30600,30600,-,30600
12,07/12/2022,30600,30600,30600,30600,-,30600
13,08/12/2022,30600,30600,30600,30600,-,30600
14,09/12/2022,30600,30600,30600,30600,-,30600
15,12/12/2022,30600,30600,30600,30600,-,30600
16,13/12/2022,30600,30600,30600,30600,-,30600
17,14/12/2022,30600,30600,30600,30600,-,30600
18,15/12/2022,30600,30600,30600,30600,-,30600
19,16/12/2022,30600,30600,30600,30600,-,30600
20,19/12/2022,30600,30600,30600,30600,-,30600
21,20/12/2022,30600,30600,30600,30600,-,30600
22,21/12/2022,30600,30600,30600,30600,-,30600
23,22/12/2022,30600,30600,30600,30600,-,30600
24,23/12/2022,30600,30600,30600,30600,-,30600
25,26/12/2022,30600,30600,30600,30600,-,30600
26,27/12/2022,30600,30600,30600,30600,-,30600
27,28/12/2022,30600,30600,30600,30600,-,30600
28,29/12/2022,30600,30600,30600,30600,-,30600
29,30/12/2022,30600,30600,30600,30600,-,30600
30,03/01/2023,30600,30600,30600,30600,-,30600
31,04/01/2023,30600,30600,30600,30600,-,30600
32,05/01/2023,30600,30600,30600,30600,-,30600
33,06/01/2023,30600,30600,30600,30600,-,30600
34,09/01/2023,30600,30600,30600,30600,-,30600
35,10/01/2023,30600,30600,30600,30600,-,30600
36,11/01/2023,30600,30600,30600,30600,-,30600
37,12/01/2023,30600,30600,30600,30600,-,30600
38,13/01/2023,30600,30600,30600,30600,-,30600
39,16/01/2023,30600,30600,30600,30600,-,30600
40,17/01/2023,30600,30600,30600,30600,-,30600
41,18/01/2023,30600,30600,30600,30600,-,30600
42,19/01/2023,30600,30600,30600,30600,-,30600
43,27/01/2023,30600,30600,30600,30600,-,30600
44,30/01/2023,30600,30600,30600,30600,-,30600
45,31/01/2023,30600,30600,30600,30600,-,30600
46,01/02/2023,30600,30600,30600,30600,-,30600
47,02/02/2023,30600,30600,30600,30600,-,30600
48,03/02/2023,30600,30600,30600,30600,-,30600
49,06/02/2023,30600,30600,30600,30600,-,30600
50,07/02/2023,30600,30600,30600,30600,-,30600
51,08/02/2023,30600,30600,30600,30600,-,30600
52,09/02/2023,30600,30600,30600,30600,-,30600
53,10/02/2023,30600,30600,30600,30600,-,30600
54,13/02/2023,30600,30600,30600,30600,-,30600
55,14/02/2023,30600,30600,30600,30600,-,30600
56,15/02/2023,30600,30600,30600,30600,-,30600
57,16/02/2023,30600,30600,30600,30600,-,30600
58,17/02/2023,30600,30600,30600,30600,-,30600
59,20/02/2023,30600,30600,30600,30600,-,30600
60,21/02/2023,30600,30600,30600,30600,-,30600
61,22/02/2023,30600,30600,30600,30600,-,30600
62,23/02/2023,30600,30600,30600,30600,-,30600
63,24/02/2023,30600,30600,30600,30600,-,30600
64,27/02/2023,30600,30600,30600,30600,-,30600
65,28/02/2023,30600,30600,30600,30600,-,30600
66,01/03/2023,30600,30600,30600,30600,-,30600
67,02/03/2023,30600,30600,30600,30600,-,30600
68,03/03/2023,30600,30600,30600,30600,-,30600
69,06/03/2023,30600,30600,30600,30600,-,30600
70,07/03/2023,30600,30600,30600,30600,-,30600
71,08/03/2023,30600,30600,30600,30600,-,30600
72,09/03/2023,30600,30600,30600,30600,-,30600
73,10/03/2023,30600,30600,30600,30600,-,30600
74,13/03/2023,30600,30600,30600,30600,-,30600
75,14/03/2023,30600,30600,30600,30600,-,30600
76,15/03/2023,30600,30600,30600,30600,-,30600
77,16/03/2023,30600,30600,30600,30600,-,30600
78,17/03/2023,30600,30600,30600,30600,-,30600
79,20/03/2023,30600,30600,30600,30600,-,30600
80,21/03/2023,30600,30600,30600,30600,-,30600
81,22/03/2023,30600,30600,30600,30600,-,30600
82,23/03/2023,30600,30600,30600,30600,-,30600
83,24/03/2023,30600,30600,30600,30600,-,30600
84,27/03/2023,30600,30600,30600,30600,-,30600
85,28/03/2023,30600,30600,30600,30600,-,30600
86,29/03/2023,30600,30600,30600,30600,-,30600
87,30/03/2023,30600,30600,30600,30600,-,30600
88,31/03/2023,30600,30600,30600,30600,-,30600
89,03/04/2023,30600,30600,30600,30600,-,30600
90,04/04/2023,30600,30600,30600,30600,-,30600
91,05/04/2023,30600,30600,30600,30600,-,30600
92,06/04/2023,30600,30600,30600,30600,-,30600
93,07/04/2023,30600,30600,30600,30600,-,30600
94,10/04/2023,30600,30600,30600,30600,-,30600
95,11/04/2023,30600,30600,30600,30600,-,30600
96,12/04/2023,30600,30600,30600,30600,-,30600
97,13/04/2023,30600,30600,30600,30600,-,30600
98,14/04/2023,30600,30600,30600,30600,-,30600
99,17/04/2023,30600,30600,30600,30600,-,30600
100,18/04/2023,30600,30600,30600,30600,-,30600
101,19/04/2023,30600,30600,30600,30600,-,30600
102,20/04/2023,30600,30600,30600,30600,-,30600
103,21/04/2023,30600,30600,30600,30600,-,30600
104,24/04/2023,30600,30600,30600,30600,-,30600
105,25/04/2023,30600,30600,30600,30600,-,30600
106,26/04/2023,30600,30600,30600,30600,-,30600
107,27/04/2023,30600,30600,30600,30600,-,30600
108,28/04/2023,30600,30600,30600,30600,-,30600
109,04/05/2023,30600,30600,30600,30600,-,30600
110,05/05/2023,30600,30600,30600,30600,-,30600
111,08/05/2023,30600,30600,30600,30600,-,30600
112,09/05/2023,30600,30600,30600,30600,-,30600
113,10/05/2023,30600,30600,30600,30600,-,30600
114,11/05/2023,30600,30600,30600,30600,-,30600
115,12/05/2023,30600,30600,30600,30600,-,30600
116,15/05/2023,30600,30600,30600,30600,-,30600
117,16/05/2023,30600,30600,30600,30600,-,30600
118,17/05/2023,30600,30600,30600,30600,-,30600
119,18/05/2023,30600,30600,30600,30600,-,30600
120,19/05/2023,30600,30600,30600,30600,-,30600
121,22/05/2023,30600,30600,30600,30600,-,30600
122,23/05/2023,30600,30600,30600,30600,-,30600
123,24/05/2023,30600,30600,30600,30600,-,30600
124,25/05/2023,30600,30600,30600,30600,-,30600
125,26/05/2023,30600,30600,30600,30600,-,30600
126,29/05/2023,30600,30600,30600,30600,-,30600
127,30/05/2023,30600,30600,30600,30600,-,30600
128,31/05/2023,30600,30600,30600,30600,-,30600
129,01/06/2023,30600,30600,30600,30600,-,30600
130,02/06/2023,30600,30600,30600,30600,-,30600
131,05/06/2023,30600,30600,30600,30600,-,30600
132,06/06/2023,30600,30600,30600,30600,-,30600
133,07/06/2023,30600,30600,30600,30600,-,30600
134,08/06/2023,30600,30600,30600,30600,-,30600
135,09/06/2023,30600,30600,30600,30600,-,30600
136,12/06/2023,30600,30600,30600,30600,-,30600
137,13/06/2023,30600,30600,30600,30600,-,30600
138,14/06/2023,30600,30600,30600,30600,-,30600
139,15/06/2023,30600,30600,30600,30600,-,30600
140,16/06/2023,30600,30600,30600,30600,-,30600
141,19/06/2023,30600,30600,30600,30600,-,30600
142,20/06/2023,30600,30600,30600,30600,-,30600
143,21/06/2023,30600,30600,30600,30600,-,30600
144,22/06/2023,30600,30600,30600,30600,-,30600
145,23/06/2023,30600,30600,30600,30600,-,30600
146,26/06/2023,30600,30600,30600,30600,-,30600
147,27/06/2023,30600,30600,30600,30600,-,30600
148,28/06/2023,30600,30600,30600,30600,-,30600
149,29/06/2023,30600,30600,30600,30600,-,30600
150,30/06/2023,30600,30600,30600,30600,-,30600
151,03/07/2023,30600,30600,30600,30600,-,30600
152,04/07/2023,30600,30600,30600,30600,-,30600
153,05/07/2023,30600,30600,30600,30600,-,30600
154,06/07/2023,30600,30600,30600,30600,-,30600
155,07/07/2023,30600,30600,30600,30600,-,30600
156,10/07/2023,30600,30600,30600,30600,-,30600
157,11/07/2023,30600,30600,30600,30600,-,30600
158,12/07/2023,30600,30600,30600,30600,-,30600
159,13/07/2023,30600,30600,30600,30600,-,30600
160,14/07/2023,30600,30600,30600,30600,-,30600
161,17/07/2023,30600,30600,30600,30600,-,30600
162,18/07/2023,30600,30600,30600,30600,-,30600
163,19/07/2023,30600,30600,30600,30600,-,30600
164,20/07/2023,30600,30600,30600,30600,-,30600
165,21/07/2023,30600,30600,30600,30600,-,30600
166,24/07/2023,30600,30600,30600,30600,-,30600
167,25/07/2023,30600,30600,30600,30600,-,30600
168,26/07/2023,30600,30600,30600,30600,-,30600
169,27/07/2023,30600,30600,30600,30600,-,30600
170,28/07/2023,30600,30600,30600,30600,100,30600
171,31/07/2023,30600,30600,30600,30600,-,30600
172,01/08/2023,30600,30600,30600,30600,-,30600
173,02/08/2023,30600,30600,30600,30600,-,30600
174,03/08/2023,30600,30600,30600,30600,-,30600
175,04/08/2023,30600,30600,30600,30600,-,30600
176,07/08/2023,30600,30600,30600,30600,-,30600
177,08/08/2023,30600,30600,30600,30600,-,30600
178,09/08/2023,30600,30600,30600,30600,-,30600
179,10/08/2023,30600,30600,30600,30600,-,30600
180,11/08/2023,30600,30600,30600,30600,-,30600
181,14/08/2023,30600,30600,30600,30600,-,30600
182,15/08/2023,30600,30600,30600,30600,-,30600
183,16/08/2023,30600,30600,30600,30600,-,30600
184,17/08/2023,30600,30600,30600,30600,-,30600
185,18/08/2023,30600,30600,30600,30600,-,30600
186,21/08/2023,30600,30600,30600,30600,-,30600
187,22/08/2023,30600,30600,30600,30600,-,30600
188,23/08/2023,30600,30600,30600,30600,-,30600
189,24/08/2023,30600,30600,30600,30600,-,30600
190,25/08/2023,30600,30600,30600,30600,-,30600
191,28/08/2023,30600,30600,30600,30600,-,30600
192,29/08/2023,30600,30600,30600,30600,-,30600
193,30/08/2023,30600,30600,30600,30600,-,30600
194,31/08/2023,30600,30600,30600,30600,-,30600
195,05/09/2023,30600,30600,30600,30600,-,30600
196,06/09/2023,30600,30600,30600,30600,-,30600
197,07/09/2023,30600,30600,30600,30600,-,30600
198,08/09/2023,30600,30600,30600,30600,-,30600
199,11/09/2023,30600,30600,30600,30600,-,30600
200,12/09/2023,30600,30600,30600,30600,-,30600
201,13/09/2023,30600,30600,30600,30600,-,30600
202,14/09/2023,30600,30600,30600,30600,-,30600
203,15/09/2023,30600,30600,30600,30600,-,30600
204,18/09/2023,30600,30600,30600,30600,-,30600
205,19/09/2023,30600,30600,30600,30600,-,30600
206,20/09/2023,30600,30600,30600,30600,-,30600
207,21/09/2023,30600,30600,30600,30600,-,30600
208,22/09/2023,30600,30600,30600,30600,-,30600
209,25/09/2023,30600,30600,30600,30600,-,30600
210,26/09/2023,30600,30600,30600,30600,-,30600
211,27/09/2023,30600,30600,30600,30600,-,30600
212,28/09/2023,30600,30600,30600,30600,-,30600
213,29/09/2023,30600,30600,30600,30600,-,30600
214,02/10/2023,30600,30600,30600,30600,-,30600
215,03/10/2023,30600,30600,30600,30600,-,30600
216,04/10/2023,30600,30600,30600,30600,-,30600
217,05/10/2023,30600,30600,30600,30600,-,30600
218,06/10/2023,30600,30600,30600,30600,-,30600
219,09/10/2023,30600,30600,30600,30600,-,30600
220,10/10/2023,30600,30600,30600,30600,-,30600
221,11/10/2023,30600,30600,30600,30600,-,30600
222,12/10/2023,30600,30600,30600,30600,-,30600
223,13/10/2023,30600,30600,30600,30600,-,30600
224,16/10/2023,30600,30600,30600,30600,-,30600
225,17/10/2023,30600,30600,30600,30600,-,30600
