,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,11800,11800,11800,11800,2032,10700
1,22/11/2022,11800,11800,11800,11800,-,10700
2,23/11/2022,11800,11800,11800,11800,-,10700
3,24/11/2022,12000,12000,12000,12000,200,10900
4,25/11/2022,12800,12800,12800,12800,200,11600
5,28/11/2022,12800,12800,12800,12800,100,11600
6,29/11/2022,12600,11900,12300,12600,3000,11500
7,30/11/2022,11100,10800,11100,10800,700,9800
8,01/12/2022,11100,10900,10900,11100,3900,10100
9,02/12/2022,11200,11100,11200,11100,5400,10100
10,05/12/2022,12000,11700,12000,11700,3601,10600
11,06/12/2022,12000,12000,12000,12000,-,10900
12,07/12/2022,12000,11900,11900,12000,1700,10900
13,08/12/2022,12000,12000,12000,12000,300,10900
14,09/12/2022,12000,12000,12000,12000,2900,10900
15,12/12/2022,12000,12000,12000,12000,1300,10900
16,13/12/2022,12000,12000,12000,12000,-,10900
17,14/12/2022,12000,12000,12000,12000,-,10900
18,15/12/2022,11300,11300,11300,11300,216,10300
19,16/12/2022,11300,11300,11300,11300,-,10300
20,19/12/2022,11300,11300,11300,11300,-,10300
21,20/12/2022,11300,11300,11300,11300,-,10300
22,21/12/2022,11300,11300,11300,11300,2500,10300
23,22/12/2022,11500,11400,11500,11400,2700,10400
24,23/12/2022,11400,11400,11400,11400,2500,10400
25,26/12/2022,11400,11400,11400,11400,1400,10400
26,27/12/2022,11400,11400,11400,11400,-,10400
27,28/12/2022,11300,11300,11300,11300,100,10300
28,29/12/2022,11400,11000,11000,11300,500,10300
29,30/12/2022,11300,11300,11300,11300,-,10300
30,03/01/2023,12000,11400,12000,11400,500,10400
31,04/01/2023,12000,11400,11800,11400,1000,10400
32,05/01/2023,11800,11800,11800,11800,-,10700
33,06/01/2023,12000,11200,12000,11300,500,10300
34,09/01/2023,11600,11600,11600,11600,-,10500
35,10/01/2023,12500,11200,11300,12000,1100,10900
36,11/01/2023,11600,11600,11600,11600,200,10500
37,12/01/2023,11600,11200,11400,11600,1200,10500
38,13/01/2023,11500,11500,11500,11500,-,10500
39,16/01/2023,12000,12000,12000,12000,700,10900
40,17/01/2023,12000,12000,12000,12000,400,10900
41,18/01/2023,11500,11500,11500,11500,200,10500
42,19/01/2023,12000,12000,12000,12000,300,10900
43,27/01/2023,13700,12600,13700,12600,200,11500
44,30/01/2023,12600,12500,12600,12500,6100,11400
45,31/01/2023,12600,12600,12600,12600,-,11500
46,01/02/2023,12300,12100,12300,12100,1300,11000
47,02/02/2023,12400,12400,12400,12400,610,11300
48,03/02/2023,12400,12400,12400,12400,-,11300
49,06/02/2023,12400,12400,12400,12400,-,11300
50,07/02/2023,12400,12100,12100,12400,300,11300
51,08/02/2023,12300,12300,12300,12300,-,11200
52,09/02/2023,12300,12300,12300,12300,100,11200
53,10/02/2023,12300,12300,12300,12300,-,11200
54,13/02/2023,12300,12300,12300,12300,-,11200
55,14/02/2023,12300,12300,12300,12300,-,11200
56,15/02/2023,12500,12500,12500,12500,1000,11400
57,16/02/2023,12500,12500,12500,12500,-,11400
58,17/02/2023,12500,12500,12500,12500,-,11400
59,20/02/2023,12500,12500,12500,12500,-,11400
60,21/02/2023,12000,11100,12000,12000,4800,10900
61,22/02/2023,13600,12900,13500,12900,2600,11700
62,23/02/2023,12100,12000,12100,12000,1100,10900
63,24/02/2023,13000,12100,12200,12200,4100,11100
64,27/02/2023,12700,12700,12700,12700,1101,11500
65,28/02/2023,12700,12700,12700,12700,1100,11500
66,01/03/2023,12700,12700,12700,12700,-,11500
67,02/03/2023,12700,12700,12700,12700,-,11500
68,03/03/2023,12700,12700,12700,12700,-,11500
69,06/03/2023,12700,12700,12700,12700,-,11500
70,07/03/2023,12600,12000,12500,12000,4000,10900
71,08/03/2023,12200,12200,12200,12200,-,11100
72,09/03/2023,12400,12300,12400,12300,2900,11200
73,10/03/2023,12400,12400,12400,12400,1000,11300
74,13/03/2023,12400,12400,12400,12400,-,11300
75,14/03/2023,12400,12400,12400,12400,-,11300
76,15/03/2023,12000,12000,12000,12000,1700,10900
77,16/03/2023,12000,12000,12000,12000,500,10900
78,17/03/2023,12000,12000,12000,12000,500,10900
79,20/03/2023,12000,11900,12000,11900,800,10800
80,21/03/2023,11900,11900,11900,11900,-,10800
81,22/03/2023,11600,11300,11300,11600,4200,10500
82,23/03/2023,12700,11500,12700,11500,900,10500
83,24/03/2023,12700,12700,12700,12700,100,11500
84,27/03/2023,12700,12700,12700,12700,-,11500
85,28/03/2023,12700,12700,12700,12700,-,11500
86,29/03/2023,12700,12700,12700,12700,3,11500
87,30/03/2023,12800,12300,12400,12800,30921,11600
88,31/03/2023,13100,12700,13000,13100,9500,11900
89,03/04/2023,13300,13100,13200,13300,10202,12100
90,04/04/2023,13800,13100,13800,13200,4500,12000
91,05/04/2023,13200,13200,13200,13200,21,12000
92,06/04/2023,13800,13800,13800,13800,3500,12500
93,07/04/2023,14000,13800,13800,14000,7200,12700
94,10/04/2023,14100,14000,14000,14000,8701,12700
95,11/04/2023,14000,14000,14000,14000,20,12700
96,12/04/2023,13800,13200,13800,13200,1800,12000
97,13/04/2023,13700,13700,13700,13700,-,12500
98,14/04/2023,13700,13700,13700,13700,-,12500
99,17/04/2023,13700,13700,13700,13200,13,12500
100,18/04/2023,13800,13700,13800,13800,2301,12500
101,19/04/2023,13800,13800,13800,13800,5,12500
102,20/04/2023,13200,13000,13200,13000,1000,11800
103,21/04/2023,13100,13100,13100,13000,3,11900
104,24/04/2023,13100,13100,13100,13100,-,11900
105,25/04/2023,13200,13200,13200,13200,600,12000
106,26/04/2023,13200,13200,13200,13200,500,12000
107,27/04/2023,13200,13100,13200,13100,600,11900
108,28/04/2023,13200,13200,13200,13100,19,12000
109,04/05/2023,13600,13200,13200,13500,2300,12300
110,05/05/2023,13200,13000,13200,13000,8001,11800
111,08/05/2023,13500,13100,13200,13500,2400,12300
112,09/05/2023,13500,13000,13500,13000,2700,11800
113,10/05/2023,13500,13500,13500,13500,2100,12300
114,11/05/2023,13600,13500,13500,13500,1100,12300
115,12/05/2023,13600,13500,13500,13600,800,12400
116,15/05/2023,13500,13500,13500,13500,-,12300
117,16/05/2023,13500,13500,13500,13500,-,12300
