,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18100,18100,18100,18100,-,18100
1,22/11/2022,18100,18100,18100,18100,-,18100
2,23/11/2022,16000,16000,16000,16000,200,16000
3,24/11/2022,16000,16000,16000,16000,-,16000
4,25/11/2022,16000,16000,16000,16000,-,16000
5,28/11/2022,16000,16000,16000,16000,-,16000
6,29/11/2022,16000,16000,16000,16000,-,16000
7,30/11/2022,16000,16000,16000,16000,-,16000
8,01/12/2022,16000,16000,16000,16000,-,16000
9,02/12/2022,16000,16000,16000,16000,-,16000
10,05/12/2022,16000,16000,16000,16000,-,16000
11,06/12/2022,16000,16000,16000,16000,-,16000
12,07/12/2022,16000,16000,16000,16000,-,16000
13,08/12/2022,16000,16000,16000,16000,-,16000
14,09/12/2022,16000,16000,16000,16000,-,16000
15,12/12/2022,16000,16000,16000,16000,-,16000
16,13/12/2022,16000,16000,16000,16000,-,16000
17,14/12/2022,16000,16000,16000,16000,-,16000
18,15/12/2022,16000,16000,16000,16000,-,16000
19,16/12/2022,16000,16000,16000,16000,-,16000
20,19/12/2022,16000,16000,16000,16000,-,16000
21,20/12/2022,16000,16000,16000,16000,-,16000
22,21/12/2022,16000,16000,16000,16000,-,16000
23,22/12/2022,16000,16000,16000,16000,-,16000
24,23/12/2022,16000,16000,16000,16000,-,16000
25,26/12/2022,16000,16000,16000,16000,-,16000
26,27/12/2022,16000,16000,16000,16000,-,16000
27,28/12/2022,16000,16000,16000,16000,1100,16000
28,29/12/2022,16000,16000,16000,16000,-,16000
29,30/12/2022,16000,16000,16000,16000,-,16000
30,03/01/2023,16000,16000,16000,16000,-,16000
31,04/01/2023,16000,16000,16000,16000,5000,16000
32,05/01/2023,16000,16000,16000,16000,-,16000
33,06/01/2023,16000,16000,16000,16000,-,16000
34,09/01/2023,16000,16000,16000,16000,-,16000
35,10/01/2023,16000,16000,16000,16000,7400,16000
36,11/01/2023,16000,16000,16000,16000,1300,16000
37,12/01/2023,16000,16000,16000,16000,2400,16000
38,13/01/2023,16000,16000,16000,16000,2800,16000
39,16/01/2023,16000,16000,16000,16000,-,16000
40,17/01/2023,16000,16000,16000,16000,-,16000
41,18/01/2023,16000,16000,16000,16000,-,16000
42,19/01/2023,16000,16000,16000,16000,-,16000
43,27/01/2023,16000,16000,16000,16000,-,16000
44,30/01/2023,16000,16000,16000,16000,-,16000
45,31/01/2023,16000,16000,16000,16000,-,16000
46,01/02/2023,16000,16000,16000,16000,-,16000
47,02/02/2023,16000,16000,16000,16000,-,16000
48,03/02/2023,16000,16000,16000,16000,-,16000
49,06/02/2023,16000,16000,16000,16000,-,16000
50,07/02/2023,16000,16000,16000,16000,-,16000
51,08/02/2023,16000,16000,16000,16000,-,16000
52,09/02/2023,16000,16000,16000,16000,-,16000
53,10/02/2023,16000,16000,16000,16000,-,16000
54,13/02/2023,16000,16000,16000,16000,-,16000
55,14/02/2023,16000,16000,16000,16000,-,16000
56,15/02/2023,16000,16000,16000,16000,-,16000
57,16/02/2023,16000,16000,16000,16000,-,16000
58,17/02/2023,16000,16000,16000,16000,-,16000
59,20/02/2023,16000,16000,16000,16000,-,16000
60,21/02/2023,16000,16000,16000,16000,-,16000
61,22/02/2023,16000,16000,16000,16000,-,16000
62,23/02/2023,16000,16000,16000,16000,-,16000
63,24/02/2023,16000,16000,16000,16000,-,16000
64,27/02/2023,16000,16000,16000,16000,-,16000
65,28/02/2023,16000,16000,16000,16000,-,16000
66,01/03/2023,16000,16000,16000,16000,-,16000
67,02/03/2023,22400,22400,22400,22400,100,22400
68,03/03/2023,22400,22400,22400,22400,3800,22400
69,06/03/2023,22400,22400,22400,22400,-,22400
70,07/03/2023,22400,22400,22400,22400,-,22400
71,08/03/2023,22400,22400,22400,22400,-,22400
72,09/03/2023,22400,22400,22400,22400,-,22400
73,10/03/2023,22400,22400,22400,22400,-,22400
74,13/03/2023,22400,22400,22400,22400,-,22400
75,14/03/2023,22400,22400,22400,22400,-,22400
76,15/03/2023,22400,22400,22400,22400,-,22400
77,16/03/2023,22400,22400,22400,22400,-,22400
78,17/03/2023,22400,22400,22400,22400,-,22400
79,20/03/2023,22400,22400,22400,22400,-,22400
80,21/03/2023,22400,22400,22400,22400,-,22400
81,22/03/2023,22400,22400,22400,22400,-,22400
82,23/03/2023,22400,22400,22400,22400,600,22400
83,24/03/2023,22400,22400,22400,22400,-,22400
84,27/03/2023,22400,22400,22400,22400,-,22400
85,28/03/2023,22400,22400,22400,22400,-,22400
86,29/03/2023,22400,22400,22400,22400,-,22400
87,30/03/2023,22400,22400,22400,22400,-,22400
88,31/03/2023,22400,22400,22400,22400,1800,22400
89,03/04/2023,22400,22400,22400,22400,-,22400
90,04/04/2023,22400,22400,22400,22400,-,22400
91,05/04/2023,22400,22400,22400,22400,-,22400
92,06/04/2023,22400,22400,22400,22400,-,22400
93,07/04/2023,22400,22400,22400,22400,-,22400
94,10/04/2023,22400,22400,22400,22400,-,22400
95,11/04/2023,22400,22400,22400,22400,-,22400
96,12/04/2023,22400,22400,22400,22400,-,22400
97,13/04/2023,22400,22400,22400,22400,-,22400
98,14/04/2023,22400,22400,22400,22400,-,22400
99,17/04/2023,22400,22400,22400,22400,-,22400
100,18/04/2023,22400,22400,22400,22400,-,22400
101,19/04/2023,22400,22400,22400,22400,-,22400
102,20/04/2023,22400,22400,22400,22400,-,22400
103,21/04/2023,22400,22400,22400,22400,-,22400
104,24/04/2023,22400,22400,22400,22400,-,22400
105,25/04/2023,22400,22400,22400,22400,-,22400
106,26/04/2023,22400,22400,22400,22400,-,22400
107,27/04/2023,22400,22400,22400,22400,-,22400
108,28/04/2023,22400,22400,22400,22400,2700,22400
109,04/05/2023,22400,22400,22400,22400,-,22400
110,05/05/2023,22400,22400,22400,22400,-,22400
111,08/05/2023,22400,22400,22400,22400,-,22400
112,09/05/2023,22400,22400,22400,22400,200,22400
113,10/05/2023,22400,22400,22400,22400,-,22400
114,11/05/2023,22400,22400,22400,22400,-,22400
115,12/05/2023,22400,22400,22400,22400,-,22400
116,15/05/2023,22400,22400,22400,22400,-,22400
117,16/05/2023,22400,22400,22400,22400,-,22400
118,17/05/2023,22400,22400,22400,22400,-,22400
119,18/05/2023,22400,22400,22400,22400,-,22400
120,19/05/2023,22400,22400,22400,22400,-,22400
121,22/05/2023,22400,22400,22400,22400,-,22400
122,23/05/2023,22400,22400,22400,22400,-,22400
123,24/05/2023,22400,22400,22400,22400,5000,22400
124,25/05/2023,22400,22400,22400,22400,-,22400
125,26/05/2023,22400,22400,22400,22400,-,22400
126,29/05/2023,22400,22400,22400,22400,-,22400
127,30/05/2023,22400,22400,22400,22400,10,22400
128,31/05/2023,22400,22400,22400,22400,-,22400
129,01/06/2023,22400,22400,22400,22400,-,22400
130,02/06/2023,22400,22400,22400,22400,-,22400
131,05/06/2023,22400,22400,22400,22400,-,22400
132,06/06/2023,22400,22400,22400,22400,-,22400
133,07/06/2023,22400,22400,22400,22400,-,22400
134,08/06/2023,22400,22400,22400,22400,-,22400
135,09/06/2023,22400,22400,22400,22400,-,22400
136,12/06/2023,22400,22400,22400,22400,-,22400
137,13/06/2023,22400,22400,22400,22400,-,22400
138,14/06/2023,22400,22400,22400,22400,-,22400
139,15/06/2023,22400,22400,22400,22400,-,22400
140,16/06/2023,22400,22400,22400,22400,3000,22400
141,19/06/2023,22400,22400,22400,22400,-,22400
142,20/06/2023,22400,22400,22400,22400,-,22400
143,21/06/2023,22400,22400,22400,22400,-,22400
144,22/06/2023,22400,22400,22400,22400,-,22400
145,23/06/2023,22400,22400,22400,22400,-,22400
146,26/06/2023,22400,22400,22400,22400,-,22400
147,27/06/2023,22400,22400,22400,22400,-,22400
148,28/06/2023,22400,22400,22400,22400,-,22400
149,29/06/2023,22400,22400,22400,22400,-,22400
150,30/06/2023,22400,22400,22400,22400,-,22400
151,03/07/2023,22400,22400,22400,22400,-,22400
152,04/07/2023,22400,22400,22400,22400,-,22400
153,05/07/2023,22400,22400,22400,22400,-,22400
154,06/07/2023,22400,22400,22400,22400,-,22400
155,07/07/2023,22400,22400,22400,22400,-,22400
156,10/07/2023,22400,22400,22400,22400,1,22400
157,11/07/2023,22400,22400,22400,22400,-,22400
158,12/07/2023,22400,22400,22400,22400,-,22400
159,13/07/2023,22400,22400,22400,22400,-,22400
160,14/07/2023,22400,22400,22400,22400,-,22400
161,17/07/2023,22400,22400,22400,22400,-,22400
162,18/07/2023,22400,22400,22400,22400,-,22400
163,19/07/2023,22400,22400,22400,22400,-,22400
164,20/07/2023,22400,22400,22400,22400,-,22400
165,21/07/2023,22400,22400,22400,22400,-,22400
166,24/07/2023,22400,22400,22400,22400,-,22400
167,25/07/2023,31300,31300,31300,31300,100,31300
168,26/07/2023,31300,31300,31300,31300,-,31300
169,27/07/2023,26800,26800,26800,26800,101,26800
170,28/07/2023,26800,26800,26800,26800,-,26800
171,31/07/2023,26800,26800,26800,26800,-,26800
172,01/08/2023,26800,26800,26800,26800,1,26800
173,02/08/2023,26800,26800,26800,26800,-,26800
174,03/08/2023,26800,26800,26800,26800,-,26800
175,04/08/2023,26800,26800,26800,26800,8,26800
176,07/08/2023,26800,26800,26800,26800,-,26800
177,08/08/2023,26800,26800,26800,26800,-,26800
178,09/08/2023,26800,26800,26800,26800,-,26800
179,10/08/2023,26800,26800,26800,26800,-,26800
180,11/08/2023,26800,26800,26800,26800,-,26800
181,14/08/2023,26800,26800,26800,26800,-,26800
182,15/08/2023,26800,26800,26800,26800,-,26800
