,Date,High,Low,Open,Close,Volume,Adj Close
0,01/12/2022,17000,16100,17000,16100,400,16100
1,02/12/2022,19300,19300,19300,19300,200,19300
2,05/12/2022,22100,22100,22100,22100,100,22100
3,06/12/2022,22100,22100,22100,22100,-,22100
4,07/12/2022,22100,22100,22100,22100,-,22100
5,08/12/2022,22100,22100,22100,22100,-,22100
6,09/12/2022,22100,22100,22100,22100,-,22100
7,12/12/2022,22100,22100,22100,22100,-,22100
8,13/12/2022,22100,22100,22100,22100,-,22100
9,14/12/2022,22100,22100,22100,22100,-,22100
10,15/12/2022,22100,22100,22100,22100,-,22100
11,16/12/2022,22100,22100,22100,22100,-,22100
12,19/12/2022,22100,22100,22100,22100,-,22100
13,20/12/2022,18800,18800,18800,18800,100,18800
14,21/12/2022,16000,16000,16000,16000,300,16000
15,22/12/2022,15000,13600,15000,13600,3000,13600
16,23/12/2022,13800,13800,13800,13800,100,13800
17,26/12/2022,13800,13800,13800,13800,-,13800
18,27/12/2022,13600,13600,13600,13600,100,13600
19,28/12/2022,13600,13600,13600,13600,-,13600
20,29/12/2022,13600,13600,13600,13600,-,13600
21,30/12/2022,13600,13600,13600,13600,-,13600
22,03/01/2023,13600,13600,13600,13600,-,13600
23,04/01/2023,13600,13600,13600,13600,-,13600
24,05/01/2023,13600,13600,13600,13600,-,13600
25,06/01/2023,13600,13600,13600,13600,-,13600
26,09/01/2023,13600,13600,13600,13600,-,13600
27,10/01/2023,13600,13600,13600,13600,-,13600
28,11/01/2023,13600,13600,13600,13600,-,13600
29,12/01/2023,13600,13600,13600,13600,-,13600
30,13/01/2023,13600,13600,13600,13600,-,13600
31,16/01/2023,13600,13600,13600,13600,-,13600
32,17/01/2023,13600,13600,13600,13600,-,13600
33,18/01/2023,15600,15600,15600,15600,100,15600
34,19/01/2023,15800,15800,15800,15800,100,15800
35,27/01/2023,15800,15800,15800,15800,-,15800
36,30/01/2023,15800,15800,15800,15800,-,15800
37,31/01/2023,15800,15800,15800,15800,-,15800
38,01/02/2023,15800,15800,15800,15800,-,15800
39,02/02/2023,15800,15800,15800,15800,-,15800
40,03/02/2023,15800,15800,15800,15800,-,15800
41,06/02/2023,15800,15800,15800,15800,-,15800
42,07/02/2023,15800,15800,15800,15800,-,15800
43,08/02/2023,15800,15800,15800,15800,-,15800
44,09/02/2023,15800,15800,15800,15800,-,15800
45,10/02/2023,15800,15800,15800,15800,-,15800
46,13/02/2023,15800,15800,15800,15800,-,15800
47,14/02/2023,15800,15800,15800,15800,-,15800
48,15/02/2023,15800,15800,15800,15800,-,15800
49,16/02/2023,15800,15800,15800,15800,-,15800
50,17/02/2023,15800,15800,15800,15800,-,15800
51,20/02/2023,15800,15800,15800,15800,-,15800
52,21/02/2023,15800,15800,15800,15800,-,15800
53,22/02/2023,15800,15800,15800,15800,-,15800
54,23/02/2023,13500,13500,13500,13500,100,13500
55,24/02/2023,13500,13500,13500,13500,-,13500
56,27/02/2023,13500,13500,13500,13500,-,13500
57,28/02/2023,13500,13500,13500,13500,-,13500
58,01/03/2023,13500,13500,13500,13500,-,13500
59,02/03/2023,13500,13500,13500,13500,-,13500
60,03/03/2023,13500,13500,13500,13500,-,13500
61,06/03/2023,13500,13500,13500,13500,-,13500
62,07/03/2023,13500,13500,13500,13500,-,13500
63,08/03/2023,13500,13500,13500,13500,-,13500
64,09/03/2023,13500,13500,13500,13500,-,13500
65,10/03/2023,13500,13500,13500,13500,-,13500
66,13/03/2023,13500,13500,13500,13500,-,13500
67,14/03/2023,13500,13500,13500,13500,-,13500
68,15/03/2023,13500,13500,13500,13500,-,13500
69,16/03/2023,13500,13500,13500,13500,-,13500
70,17/03/2023,13500,13500,13500,13500,-,13500
71,20/03/2023,13500,13500,13500,13500,-,13500
72,21/03/2023,13500,13500,13500,13500,-,13500
73,22/03/2023,13500,13500,13500,13500,-,13500
74,23/03/2023,13500,13500,13500,13500,-,13500
75,24/03/2023,13500,13500,13500,13500,-,13500
76,27/03/2023,13500,13500,13500,13500,-,13500
77,28/03/2023,13500,13500,13500,13500,-,13500
78,29/03/2023,13500,13500,13500,13500,-,13500
79,30/03/2023,13500,13500,13500,13500,-,13500
80,31/03/2023,13500,13500,13500,13500,-,13500
81,03/04/2023,13500,13500,13500,13500,-,13500
82,04/04/2023,13500,13500,13500,13500,-,13500
83,05/04/2023,13500,13500,13500,13500,-,13500
84,06/04/2023,13500,13500,13500,13500,-,13500
85,07/04/2023,13500,13500,13500,13500,-,13500
86,10/04/2023,13500,13500,13500,13500,-,13500
87,11/04/2023,18900,18900,18900,18900,200,18900
88,12/04/2023,18900,18900,18900,18900,-,18900
89,13/04/2023,18900,18900,18900,18900,-,18900
90,14/04/2023,16100,16100,16100,16100,100,16100
91,17/04/2023,13700,13700,13700,13700,100,13700
92,18/04/2023,13700,13700,13700,13700,-,13700
93,19/04/2023,13700,13700,13700,13700,-,13700
94,20/04/2023,13700,13700,13700,13700,-,13700
95,21/04/2023,13700,13700,13700,13700,-,13700
96,24/04/2023,15700,15700,15700,15700,100,15700
97,25/04/2023,18000,18000,18000,18000,100,18000
98,26/04/2023,18000,18000,18000,18000,-,18000
99,27/04/2023,18000,18000,18000,18000,-,18000
100,28/04/2023,18000,18000,18000,18000,-,18000
101,04/05/2023,18000,18000,18000,18000,-,18000
102,05/05/2023,18000,18000,18000,18000,-,18000
103,08/05/2023,20700,20700,20700,20700,100,20700
104,09/05/2023,23800,23800,23800,23800,100,23800
105,10/05/2023,27300,27300,27300,27300,500,27300
106,11/05/2023,27300,27300,27300,27300,-,27300
107,12/05/2023,27300,27300,27300,27300,-,27300
108,15/05/2023,27300,27300,27300,27300,-,27300
109,16/05/2023,27300,27300,27300,27300,-,27300
110,17/05/2023,31300,31300,31300,31300,190,31300
111,18/05/2023,35900,35900,35900,35900,100,35900
112,19/05/2023,35900,35900,35900,35900,23,35900
113,22/05/2023,41200,41200,41200,41200,105,41200
114,23/05/2023,47300,47300,47300,47300,101,47300
115,24/05/2023,54300,54300,54300,54300,201,54300
116,25/05/2023,62400,62400,62400,62400,701,62400
117,26/05/2023,62400,62400,62400,62400,-,62400
118,29/05/2023,71700,71700,71700,71700,100,71700
119,30/05/2023,82400,82400,82400,82400,100,82400
120,31/05/2023,94700,94700,94700,94700,500,94700
121,01/06/2023,108900,108900,108900,108900,605,108900
122,02/06/2023,125000,125000,125000,125000,100,125000
123,05/06/2023,143700,143700,143700,143700,100,143700
124,06/06/2023,165200,165200,165200,165200,700,165200
125,07/06/2023,165200,165200,165200,165200,5,165200
126,08/06/2023,189900,189900,189900,189900,100,189900
127,09/06/2023,189900,189900,189900,189900,-,189900
128,12/06/2023,218300,218300,218300,218300,700,218300
129,13/06/2023,218300,218300,218300,218300,-,218300
130,14/06/2023,218300,218300,218300,218300,-,218300
131,15/06/2023,251000,251000,251000,251000,600,251000
132,16/06/2023,288600,288600,288600,288600,1515,288600
133,19/06/2023,331800,331800,331800,331800,400,331800
134,20/06/2023,381500,381500,381500,381500,1800,381500
135,21/06/2023,438700,438700,438700,438700,100,438700
136,22/06/2023,504500,504500,504500,504500,400,504500
137,23/06/2023,580100,580100,580100,580100,200,580100
138,26/06/2023,667100,667100,667100,667100,300,667100
139,27/06/2023,767100,767100,767100,767100,510,767100
140,28/06/2023,882100,882100,882100,882100,500,882100
141,29/06/2023,999900,999900,999900,999900,305,999900
142,30/06/2023,999900,999900,999900,999900,-,999900
143,03/07/2023,999900,999900,999900,999900,-,999900
144,04/07/2023,999900,999900,999900,999900,-,999900
145,05/07/2023,999900,999900,999900,999900,1,999900
146,06/07/2023,999900,999900,999900,999900,-,999900
147,07/07/2023,999900,999900,999900,999900,-,999900
148,10/07/2023,999900,999900,999900,999900,-,999900
149,11/07/2023,999900,999900,999900,999900,-,999900
150,12/07/2023,999900,999900,999900,999900,-,999900
151,13/07/2023,999900,999900,999900,999900,-,999900
152,14/07/2023,999900,999900,999900,999900,-,999900
153,17/07/2023,999900,999900,999900,999900,1,999900
154,18/07/2023,999900,999900,999900,999900,-,999900
155,19/07/2023,999900,999900,999900,999900,-,999900
156,20/07/2023,999900,999900,999900,999900,-,999900
157,21/07/2023,999900,999900,999900,999900,-,999900
158,24/07/2023,999900,999900,999900,999900,-,999900
159,25/07/2023,999900,999900,999900,999900,1,999900
160,26/07/2023,999900,999900,999900,999900,10,999900
161,27/07/2023,999900,999900,999900,999900,-,999900
162,28/07/2023,999900,999900,999900,999900,2,999900
163,31/07/2023,999900,999900,999900,999900,-,999900
164,01/08/2023,999900,999900,999900,999900,-,999900
165,02/08/2023,999900,999900,999900,999900,-,999900
166,03/08/2023,999900,999900,999900,999900,-,999900
167,04/08/2023,999900,999900,999900,999900,-,999900
168,07/08/2023,999900,999900,999900,999900,-,999900
169,08/08/2023,999900,999900,999900,999900,-,999900
170,09/08/2023,999900,999900,999900,999900,-,999900
171,10/08/2023,600000,600000,600000,600000,200,600000
172,11/08/2023,600000,600000,600000,600000,42,600000
173,14/08/2023,600000,600000,600000,600000,13,600000
174,15/08/2023,510000,510000,510000,510000,107,510000
175,16/08/2023,510000,510000,510000,510000,1,510000
176,17/08/2023,510000,510000,510000,510000,2,510000
177,18/08/2023,510000,510000,510000,510000,-,510000
178,21/08/2023,510000,510000,510000,510000,21,510000
179,22/08/2023,510000,510000,510000,510000,-,510000
180,23/08/2023,510000,510000,510000,510000,-,510000
181,24/08/2023,510000,510000,510000,510000,-,510000
182,25/08/2023,510000,510000,510000,510000,6,510000
183,28/08/2023,510000,510000,510000,510000,6,510000
184,29/08/2023,510000,510000,510000,510000,-,510000
185,30/08/2023,510000,510000,510000,510000,-,510000
186,31/08/2023,510000,510000,510000,510000,-,510000
187,05/09/2023,510000,510000,510000,510000,-,510000
188,06/09/2023,510000,510000,510000,510000,-,510000
189,07/09/2023,510000,510000,510000,510000,-,510000
190,08/09/2023,510000,510000,510000,510000,1,510000
191,11/09/2023,510000,510000,510000,510000,-,510000
192,12/09/2023,510000,510000,510000,510000,1,510000
193,13/09/2023,510000,510000,510000,510000,-,510000
194,14/09/2023,510000,510000,510000,510000,-,510000
195,15/09/2023,510000,510000,510000,510000,-,510000
196,18/09/2023,510000,510000,510000,510000,-,510000
197,19/09/2023,510000,510000,510000,510000,-,510000
198,20/09/2023,433500,433500,433500,433500,100,433500
199,21/09/2023,433500,433500,433500,433500,2,433500
200,22/09/2023,433500,433500,433500,433500,-,433500
201,25/09/2023,433500,433500,433500,433500,-,433500
202,26/09/2023,433500,433500,433500,433500,-,433500
203,27/09/2023,433500,433500,433500,433500,-,433500
204,28/09/2023,433500,433500,433500,433500,-,433500
205,29/09/2023,433500,433500,433500,433500,1,433500
206,02/10/2023,433500,433500,433500,433500,-,433500
207,03/10/2023,433500,433500,433500,433500,-,433500
208,04/10/2023,433500,433500,433500,433500,-,433500
209,05/10/2023,433500,433500,433500,433500,-,433500
210,06/10/2023,433500,433500,433500,433500,-,433500
211,09/10/2023,433500,433500,433500,433500,-,433500
212,10/10/2023,433500,433500,433500,433500,-,433500
213,11/10/2023,433500,433500,433500,433500,-,433500
214,12/10/2023,433500,433500,433500,433500,-,433500
215,13/10/2023,433500,433500,433500,433500,-,433500
216,16/10/2023,433500,433500,433500,433500,-,433500
217,17/10/2023,433500,433500,433500,433500,-,433500
218,18/10/2023,433500,433500,433500,433500,-,433500
219,19/10/2023,433500,433500,433500,433500,-,433500
220,20/10/2023,433500,433500,433500,433500,-,433500
221,23/10/2023,433500,433500,433500,433500,1,433500
222,24/10/2023,433500,433500,433500,433500,-,433500
223,25/10/2023,433500,433500,433500,433500,-,433500
224,26/10/2023,433500,433500,433500,433500,-,433500
225,27/10/2023,433500,433500,433500,433500,-,433500
226,30/10/2023,433500,433500,433500,433500,-,433500
227,31/10/2023,433500,433500,433500,433500,-,433500
228,01/11/2023,433500,433500,433500,433500,-,433500
229,02/11/2023,433500,433500,433500,433500,-,433500
230,03/11/2023,433500,433500,433500,433500,-,433500
231,06/11/2023,433500,433500,433500,433500,-,433500
232,07/11/2023,433500,433500,433500,433500,-,433500
233,08/11/2023,260100,260100,260100,260100,200,260100
234,09/11/2023,260100,260100,260100,260100,2,260100
235,10/11/2023,260100,260100,260100,260100,-,260100
236,13/11/2023,260100,260100,260100,260100,8,260100
237,14/11/2023,221100,221100,221100,221100,602,221100
238,15/11/2023,188000,188000,188000,188000,202,188000
239,16/11/2023,188000,188000,188000,188000,-,188000
240,17/11/2023,188000,188000,188000,188000,-,188000
241,20/11/2023,188000,188000,188000,188000,1,188000
