,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,31600,31600,31600,31600,-,27100
1,22/11/2022,31600,31600,31600,31600,-,27100
2,23/11/2022,31600,31600,31600,31600,-,27100
3,24/11/2022,31600,31600,31600,31600,-,27100
4,25/11/2022,31600,31600,31600,31600,-,27100
5,28/11/2022,31600,31600,31600,31600,-,27100
6,29/11/2022,31600,31600,31600,31600,-,27100
7,30/11/2022,31600,31600,31600,31600,-,27100
8,01/12/2022,31600,31600,31600,31600,-,27100
9,02/12/2022,31600,31600,31600,31600,-,27100
10,05/12/2022,31600,31600,31600,31600,-,27100
11,06/12/2022,31600,31600,31600,31600,-,27100
12,07/12/2022,31600,31600,31600,31600,-,27100
13,08/12/2022,31600,31600,31600,31600,-,27100
14,09/12/2022,31600,31600,31600,31600,-,27100
15,12/12/2022,31600,31600,31600,31600,-,27100
16,13/12/2022,31600,31600,31600,31600,-,27100
17,14/12/2022,31600,31600,31600,31600,-,27100
18,15/12/2022,31600,31600,31600,31600,-,27100
19,16/12/2022,31600,31600,31600,31600,-,27100
20,19/12/2022,31600,31600,31600,31600,-,27100
21,20/12/2022,31600,31600,31600,31600,-,27100
22,21/12/2022,31600,31600,31600,31600,-,27100
23,22/12/2022,31600,31600,31600,31600,-,27100
24,23/12/2022,31600,31600,31600,31600,-,27100
25,26/12/2022,31600,31600,31600,31600,-,27100
26,27/12/2022,31600,31600,31600,31600,-,27100
27,28/12/2022,19000,19000,19000,19000,1300,16300
28,29/12/2022,16200,16200,16200,16200,200,13900
29,30/12/2022,16200,16200,16200,16200,-,13900
30,03/01/2023,14500,13900,13900,14500,200,12400
31,04/01/2023,14200,14200,14200,14200,-,12200
32,05/01/2023,16300,16200,16200,16300,300,14000
33,06/01/2023,16300,16300,16300,16300,-,14000
34,09/01/2023,14700,14700,14700,14700,100,12600
35,10/01/2023,14700,14700,14700,14700,-,12600
36,11/01/2023,13000,12600,13000,12600,300,10800
37,12/01/2023,14700,14700,14700,14700,400,12600
38,13/01/2023,14700,14700,14700,14700,-,12600
39,16/01/2023,12500,12500,12500,12500,100,10700
40,17/01/2023,14300,14300,14300,14300,2127,12300
41,18/01/2023,16300,15900,16300,15900,200,13600
42,19/01/2023,14200,14200,14200,14200,100,12200
43,27/01/2023,14200,14200,14200,14200,-,12200
44,30/01/2023,16300,16000,16000,16300,300,14000
45,31/01/2023,18600,18600,18600,18600,100,16000
46,01/02/2023,21200,21200,21200,21200,100,18200
47,02/02/2023,24100,24100,24100,24100,100,20700
48,03/02/2023,27400,27400,27400,27400,100,23500
49,06/02/2023,27400,27400,27400,27400,-,23500
50,07/02/2023,27400,27400,27400,27400,-,23500
51,08/02/2023,27400,27400,27400,27400,-,23500
52,09/02/2023,23300,23300,23300,23300,200,20000
53,10/02/2023,23300,23300,23300,23300,-,20000
54,13/02/2023,19900,19900,19900,19900,210,17100
55,14/02/2023,17000,17000,17000,17000,112,14600
56,15/02/2023,17000,17000,17000,17000,-,14600
57,16/02/2023,19400,19400,19400,19400,100,16600
58,17/02/2023,22200,22200,22200,22200,100,19000
59,20/02/2023,22200,22200,22200,22200,-,19000
60,21/02/2023,22200,22200,22200,22200,-,19000
61,22/02/2023,22200,22200,22200,22200,28,19000
62,23/02/2023,22200,22200,22200,22200,-,19000
63,24/02/2023,22200,22200,22200,22200,-,19000
64,27/02/2023,22200,22200,22200,22200,-,19000
65,28/02/2023,22200,22200,22200,22200,-,19000
66,01/03/2023,22200,22200,22200,22200,-,19000
67,02/03/2023,22200,22200,22200,22200,-,19000
68,03/03/2023,18900,18900,18900,18900,100,16200
69,06/03/2023,21100,21100,21100,21100,100,18100
70,07/03/2023,24100,18000,18000,18000,1200,15400
71,08/03/2023,18500,18500,18500,18500,-,15900
72,09/03/2023,21100,21100,21100,21100,100,18100
73,10/03/2023,18000,18000,18000,18000,100,15400
74,13/03/2023,17000,17000,17000,17000,100,14600
75,14/03/2023,17000,17000,17000,17000,-,14600
76,15/03/2023,14700,14700,14700,14700,100,12600
77,16/03/2023,16900,16900,16900,16900,100,14500
78,17/03/2023,16900,16900,16900,16900,-,14500
79,20/03/2023,16900,16900,16900,16900,100,14500
80,21/03/2023,15100,15100,15100,15100,100,12900
81,22/03/2023,15100,15100,15100,15100,-,12900
82,23/03/2023,17300,17300,17300,17300,100,14800
83,24/03/2023,19800,19800,19800,19800,100,17000
84,27/03/2023,16900,16900,16900,16900,2200,14500
85,28/03/2023,19300,19300,19300,19300,100,16600
86,29/03/2023,19300,19300,19300,19300,-,16600
87,30/03/2023,19300,19300,19300,19300,-,16600
88,31/03/2023,19300,19300,19300,19300,-,16600
89,03/04/2023,20900,20900,20900,20900,200,17900
90,04/04/2023,17800,17800,17800,17800,1100,15300
91,05/04/2023,17800,17800,17800,17800,-,15300
92,06/04/2023,16500,16500,16500,16500,200,14200
93,07/04/2023,16500,16500,16500,16500,-,14200
94,10/04/2023,16500,16500,16500,16500,-,14200
95,11/04/2023,16500,16500,16500,16500,-,14200
96,12/04/2023,16500,16500,16500,16500,-,14200
97,13/04/2023,14800,14800,14800,14800,100,12700
98,14/04/2023,14800,14800,14800,14800,-,12700
99,17/04/2023,16000,16000,16000,16000,300,13700
100,18/04/2023,16000,16000,16000,16000,-,13700
101,19/04/2023,18300,18300,18300,18300,401,15700
102,20/04/2023,15900,15900,15900,15900,100,13600
103,21/04/2023,15900,15900,15900,15900,-,13600
104,24/04/2023,15900,15900,15900,15900,-,13600
105,25/04/2023,15900,15900,15900,15900,-,13600
106,26/04/2023,15900,15900,15900,15900,-,13600
107,27/04/2023,14500,13600,14500,13600,1000,11700
108,28/04/2023,15800,15800,15800,15800,100,13500
109,04/05/2023,15900,15800,15900,15800,300,13500
110,05/05/2023,17800,17800,17800,17800,100,15300
111,08/05/2023,17800,17800,17800,17800,-,15300
112,09/05/2023,17800,17800,17800,17800,-,15300
113,10/05/2023,17800,17400,17400,17800,600,15300
114,11/05/2023,17700,17700,17700,17700,-,15200
115,12/05/2023,16200,16200,16200,16200,100,13900
116,15/05/2023,16200,16200,16200,16200,-,13900
117,16/05/2023,16200,16200,16200,16200,-,13900
118,17/05/2023,17900,17900,17900,17900,100,15400
119,18/05/2023,18000,18000,18000,18000,300,15400
120,19/05/2023,18000,18000,18000,18000,-,15400
121,22/05/2023,18000,18000,18000,18000,-,15400
122,23/05/2023,16600,16600,16600,16600,200,14200
123,24/05/2023,16600,16600,16600,16600,20000,14200
124,25/05/2023,16600,16600,16600,16600,-,14200
125,26/05/2023,16600,16600,16600,16600,-,14200
126,29/05/2023,16600,16600,16600,16600,12760,14200
127,30/05/2023,16600,16600,16600,16600,-,14200
128,31/05/2023,16600,16600,16600,16600,-,14200
129,01/06/2023,16600,16600,16600,16600,-,14200
130,02/06/2023,16600,16600,16600,16600,-,14200
131,05/06/2023,15200,14300,15200,15200,500,13000
132,06/06/2023,15200,15200,15200,15200,100,13000
133,07/06/2023,15200,15200,15200,15200,-,13000
134,08/06/2023,15200,15200,15200,15200,-,13000
135,09/06/2023,14500,14500,14500,14500,100,12400
136,12/06/2023,16600,16600,16600,16600,100,14200
137,13/06/2023,18900,18900,18900,18900,100,16200
138,14/06/2023,21700,21700,21700,21700,100,18600
139,15/06/2023,24900,18500,18500,18500,300,15900
140,16/06/2023,20600,20600,20600,20600,-,17700
141,19/06/2023,20600,20600,20600,20600,-,17700
142,20/06/2023,20600,20600,20600,20600,-,17700
143,21/06/2023,22500,22500,22500,22500,100,19300
144,22/06/2023,19200,19200,19200,19200,100,16500
145,23/06/2023,19200,19200,19200,19200,-,16500
146,26/06/2023,18500,16400,16400,18500,200,15900
147,27/06/2023,17500,17500,17500,17500,-,15000
148,28/06/2023,17500,17500,17500,17500,-,15000
149,29/06/2023,17500,17500,17500,17500,-,15000
150,30/06/2023,15400,15000,15400,15000,819,12900
151,03/07/2023,15200,15200,15200,15200,-,13000
152,04/07/2023,15200,15200,15200,15200,-,13000
153,05/07/2023,15200,15200,15200,15200,-,13000
154,06/07/2023,17300,17300,17300,17300,116,14800
155,07/07/2023,19400,19400,19400,19400,100,16600
156,10/07/2023,18600,18600,18600,18600,100,16000
157,11/07/2023,18600,18600,18600,18600,-,16000
158,12/07/2023,18600,18600,18600,18600,-,16000
159,13/07/2023,18600,18600,18600,18600,-,16000
160,14/07/2023,18600,18600,18600,18600,-,16000
161,17/07/2023,18900,18900,18900,18900,100,16200
162,18/07/2023,21700,21700,21700,21700,100,18600
163,19/07/2023,18500,18500,18500,18500,100,15900
164,20/07/2023,18500,18500,18500,18500,100,15900
165,21/07/2023,18500,18500,18500,18500,100,15900
166,24/07/2023,18500,18500,18500,18500,100,15900
167,25/07/2023,20400,20400,20400,20400,100,17500
168,26/07/2023,20400,20400,20400,20400,-,17500
169,27/07/2023,20400,20400,20400,20400,700,17500
170,28/07/2023,20400,20400,20400,20400,-,17500
171,31/07/2023,23000,22900,23000,23000,2000,19700
172,01/08/2023,23000,23000,23000,23000,100,19700
173,02/08/2023,26400,25000,25000,26400,1500,22600
174,03/08/2023,25700,25700,25700,25700,500,25700
175,04/08/2023,29500,25700,29500,25700,1200,25700
176,07/08/2023,28100,28100,28100,28100,-,28100
177,08/08/2023,32300,32300,32300,32300,100,32300
178,09/08/2023,32300,32300,32300,32300,-,32300
179,10/08/2023,32300,32300,32300,32300,-,32300
180,11/08/2023,32300,32300,32300,32300,-,32300
181,14/08/2023,32300,32300,32300,32300,-,32300
182,15/08/2023,32000,32000,32000,32000,100,32000
183,16/08/2023,32000,32000,32000,32000,-,32000
184,17/08/2023,32000,32000,32000,32000,-,32000
185,18/08/2023,32000,32000,32000,32000,-,32000
186,21/08/2023,32300,27200,32300,30400,2100,30400
187,22/08/2023,27600,27600,27600,27600,-,27600
188,23/08/2023,27600,27600,27600,27600,-,27600
189,24/08/2023,27600,27600,27600,27600,-,27600
190,25/08/2023,27600,27600,27600,27600,-,27600
191,28/08/2023,27600,27600,27600,27600,-,27600
192,29/08/2023,27600,27600,27600,27600,-,27600
193,30/08/2023,27600,27600,27600,27600,-,27600
194,31/08/2023,27600,27600,27600,27600,-,27600
195,05/09/2023,27600,27600,27600,27600,1227,27600
196,06/09/2023,27600,27600,27600,27600,-,27600
197,07/09/2023,27600,27600,27600,27600,-,27600
198,08/09/2023,23500,23500,23500,23500,200,23500
199,11/09/2023,23500,23400,23500,23400,200,23400
200,12/09/2023,23400,20000,20000,23400,200,23400
201,13/09/2023,21700,21700,21700,21700,1200,21700
202,14/09/2023,21700,21700,21700,21700,-,21700
203,15/09/2023,21700,21700,21700,21700,-,21700
204,18/09/2023,21700,21700,21700,21700,-,21700
205,19/09/2023,21700,21700,21700,21700,-,21700
206,20/09/2023,18500,18500,18500,18500,700,18500
207,21/09/2023,18500,18500,18500,18500,-,18500
208,22/09/2023,18500,18500,18500,18500,700,18500
209,25/09/2023,18500,18000,18500,18000,700,18000
210,26/09/2023,18400,18400,18400,18400,-,18400
211,27/09/2023,18400,18400,18400,18400,-,18400
212,28/09/2023,18400,18400,18400,18400,-,18400
213,29/09/2023,16100,16100,16100,16100,170,16100
214,02/10/2023,16100,16100,16100,16100,-,16100
215,03/10/2023,16100,16100,16100,16100,-,16100
216,04/10/2023,16100,16100,16100,16100,-,16100
217,05/10/2023,16100,16100,16100,16100,-,16100
218,06/10/2023,16100,16100,16100,16100,52,16100
219,09/10/2023,16100,16100,16100,16100,-,16100
220,10/10/2023,18500,18500,18500,18500,100,18500
221,11/10/2023,18500,18500,18500,18500,-,18500
222,12/10/2023,18500,18500,18500,18500,-,18500
223,13/10/2023,18500,18500,18500,18500,-,18500
224,16/10/2023,18500,18500,18500,18500,-,18500
225,17/10/2023,18500,18500,18500,18500,-,18500
226,18/10/2023,18500,18500,18500,18500,-,18500
227,19/10/2023,18500,18500,18500,18500,-,18500
228,20/10/2023,18500,18500,18500,18500,1,18500
229,23/10/2023,18500,18500,18500,18500,-,18500
230,24/10/2023,18500,18500,18500,18500,-,18500
231,25/10/2023,18500,18500,18500,18500,-,18500
232,26/10/2023,18500,18500,18500,18500,-,18500
233,27/10/2023,18500,18500,18500,18500,-,18500
234,30/10/2023,18500,18500,18500,18500,-,18500
235,31/10/2023,18500,18500,18500,18500,-,18500
236,01/11/2023,18500,18500,18500,18500,-,18500
237,02/11/2023,18500,18500,18500,18500,-,18500
238,03/11/2023,21200,21200,21200,21200,100,21200
239,06/11/2023,21200,21200,21200,21200,-,21200
240,07/11/2023,21200,21200,21200,21200,1,21200
241,08/11/2023,21200,21200,21200,21200,-,21200
242,09/11/2023,21200,21200,21200,21200,-,21200
243,10/11/2023,21200,21200,21200,21200,-,21200
244,13/11/2023,21200,21200,21200,21200,-,21200
245,14/11/2023,21200,21200,21200,21200,-,21200
246,15/11/2023,21200,21200,21200,21200,-,21200
247,16/11/2023,21200,21200,21200,21200,-,21200
248,17/11/2023,21200,21200,21200,21200,1,21200
249,20/11/2023,21200,21200,21200,21200,-,21200
